Oliver Wolcott,Andrew Adams,Jan. 2 1782
William Ellery,William Greene,Jan. 7 1782
William Floyd,George Clinton,Jan. 7 1782
Oliver Wolcott,Jonathan Trumbull,Jan. 8 1782
Samuel Livermore,Meshech Weare,Jan. 8 1782
The Virginia Delegates,Benjamin Harrison,Jan. 8 1782
James Madison,Edmund Pendleton,Jan. 8 1782
Benjamin Hawkins,Abner Nash,Jan. 9 1782
William Floyd,George Clinton,Jan. 15 1782
James Madison,Thomas Jefferson,Jan. 15 1782
The Connecticut Delegates,Jonathan Trumbull,Jan. 21 1782
James Madison,Eximund Pendleton,Jan. 22 1782
Nicholas Eveleigh,John Mathews,Jan. 22 1782
Arthur Middleton,Charles Cotesworth Pinckney,Jan. 26 1782
William Floyd,George Clinton,Jan. 31 1782
John Hanson,George Washington,Feb. 1 298 1782
Samuel Livermore,Meshech Weare,Feb. 5 1782
Caesar Rodney,Thomas Rodney,Feb. 7 1782
James Madison,Edmund Pendleton,Feb. 7 1782
Elbridge Gerry,the Massachusetts Assembly,Feb. 9 1782
Samuel Livermore,Meshech Weare,Feb. 11 1782
Ezekiel Cornell,George Washington,Feb. 12 1782
The Virginia Delegates,Benjamin Harrison,Feb. 15 1782
Samuel Livermore,Meshech Weare,Feb. 19 1782
El jas Boudinot,Elisha Boudinot,Feb. 20 1782
Charles Thomson,George Ointon,Feb. 21 1782
The Virginia Delegates,Benjamin Harrison,Feb. 25 1782
James Madison,Edmund Pendleton,Feb. 25 1782
William Floyd,George Clinton,Feb. 26 1782
The South Caroh'na Delegates,John Mathews,Feb. 27 1782
Samuel Livermore,Meshech Weare,Mar. 2 1782
Samuel Osgood,James Lovell,Mar. 2 1782
The New York Delegates,George Clinton. Mar. 5 1782
Elias Boudinot,Lewis Pintard,Mar. 5 1782
John Hanson,John Hall,Mar. 11 1782
Samuel Livermore,Meshech Weare,Mar. 12 1782
Samuel Livermore,Meshech Weare,Mar. 12 1782
The New York Delegates,George Clinton. Mar. 12 1782
The Maryland Delegates,Thomas Sim Lee,Mar. 12 1782
The Virginia Delegates,Benjamin Harrison,Mar. 12 1782
The New York Delegates,George Clinton,Mar. 15 1782
William Ellery,unknown,Mar. 17 1782
James Madison,Thomas Jefferson,Mar. 18 1782
Samuel Livermore,Meshech Weare,Mar. 19 1782
The Virginia Delegates,Benjamin Harrison,Mar. 19 1782
Joseph Jones,Edmund Pendleton,Mar. 19 1782
The Massachusetts Delegates,John Avery,Mar. 26 1782
Samuel Livermore,Meshech Weare,Mar. 26 1782
James Madison,Thomas Jefferson,Mar. 26 1782
John Morin Scott,George Clinton,Mar. 27 1782
The New York Delegates,George Ginton,Mar. 29 1782
The Virginia Delegates,Benjamin Lincoln,Apr. 1 1782
John Morin Scott,George Ointon,Apr. 2 1782
James Madison,Eximund Pendleton,Apr. 2 1782
Arthur Lee,James Warren,Apr. 8 1782
Charles Thomson,William Moore,Apr. 9 1782
John Morin Scott,George Clinton,Apr. 9 1782
Samuel Osgood,Samuel Holten,Apr. 15 1782
Samuel Livermore,Meshech Weare,Apr. 16 1782
The Rhode Island Delegates,William Greene,Apr. 16 1782
James Madison,Thomas Jefferson,Apr. 16 1782
Edward Telfair,James Jackson,Apr. 19 1782
Arthur Lee,Samuel Adams,Apr. 21 1782
Samuel Livermore,Meshech Weare,Apr. 22 1782
Edmund Randolph,Benjamin Harrison,Apr. 22 1782
John Morin Scott,George Clinton,Apr. 23 1782
William Floyd,George Clinton,Apr. 23 1782
The Virginia Delegates,Benjamin Harrison,Apr. 23 1782
James Madison,Edmund Randolph,Apr. 23 1782
James Madison,Edmund Pendleton. Apr. 23 1782
The Connecticut Delegates,Jonathan Trumbull,Apr. 29 1782
Samuel Livermore,John Hanson,Apr. 29 1782
The Virginia Delegates,Benjamin Harrison,Apr. 30 1782
James Madison,Edmund Randolph,May 1 1782
James Madison,Observations on Vermont and Territorial Claims,May 1 1782
The South Carolina Delegates,John Mathews,May 6 1782
The Rhode Island Delegates,William Greene,May 7 1782
The Virginia Delegates,Benjamin Harrison,May 7 1782
James Madison,Edmund Randolph,May 7 1782
James Madison,Arthur Lee,May 7 1782
Charles Thomson,Robert Morris,May 9 1782
Charles Thomson,Robert R. Livingston. May 9 1782
Charles Thomson,Robert R. Livingston,May 10 1782
Jesse Root,Jonathan Trumbull,May 11 1782
Charles Thomson,Report,May 13 1782
James Madison,Edmund Randolph,May 14 1782
Edmund Randolph,John Tyler,May 16 1782
Jesse Root,Jeremiah Wadsworth,May 17 1782
John Morin Scott,George Clinton,May 21 1782
William Floyd,George Clinton,May 22 1782
Charles Thomson,Jonathan Trumbull,May 23 1782
Charles Thomson,the Several States,May 23 1782
Jesse Root,Jonathan Trumbull,May 24 1782
John Hanson,the Several States,May 28 1782
John Morin Scott,George Clinton,May 28 1782
The Virginia Delegates,Benjamin Harrison,May 28 1782
James Madison,Edmund Randolph,May 28 1782
James Madison,Arthur Lee,May 28 1782
John Lowell,Samuel Adams,May 28 1782
James Madison,Edmund Randolph,May 29 1782
William Few,James Jackson,June 2 1782
James Madison,Edmund Randolph,June 3 1782
Charles Thomson,Robert Morris,June 4 1782
John Morin Scott,George Washington,June 4 1782
James Dtjane,Philip Schuyler,June 4 1782
Turbutt Wright,John Hall,June 4 1782
John Hanson,John Hall,June 4 1782
The Virginia Delegates,Benjamin Harrison,June 4 1782
James Madison,Edmund Randolph,June 4 1782
The Connecticut Delegates,Jonathan Trumbull,June 5 1782
James Duane,Philip Schuyler,June 10 1782
John Hanson,John Hall,June 11 1782
James MadiscKi,Edmund Randolph,June 11 1782
The Virginia Delegates,Benjamin Hiarrison,June 11 1782
Samuel Osgood,John Avery,June 12 1782
Charles Thomson,Robert R. Livingston,June 14 1782
The Connecticut Delegates,Jonathan Trumbull,June 17 1782
Eliphalet Dyer,Roger Sherman,June 17 1782
The Virginia Delegates,Benjamin Harrison,June 18 1782
James Madison,Edmund Randolph,June 18 1782
John Taylor Gilman,Meshech Weare,June 19 1782
Charles Thomson,William Barton,June 24 1782
The Virginia Delegates,Benjamin Harrison,June 25 1782
John Taylor Gilman,Meschech Weare,June 26 1782
The Connecticut Delegates,Jonathan Trumbull,July 1 1782
James Duane,George Qinton,July 1 1782
James Madison,Edmund Randolph,July 2 1782
Arthur Lee,Francis Dana,July 6 1782
John Lowell,Samuel Adams,July 8 1782
John Taylor Gilman,Meshech Weare,July 9 1782
John Taylor Gilman,Josiah Bartlett,July 9 1782
James Madison,Edmund Randolph,July 9 1782
Benjamin Huntington,Andrew Huntington,July 13 1782
James Duane,George Ointon,July 16 1782
The Virginia Delegates,Benjamin Harrison,July 16 1782
James Madison,Edmund Randolph,July 16 1782
James Madison,Edmund Pendleton,July 16 1782
John Taylor Gilman,Meshech Weare,July 17 1782
James Duane,Philip Schuyler,July 18 1782
The Rhode Island Delegates,William Greene,July 19 1782
Charles Thomson,Notes of Debates,July 22-23 1782
The Virginia Delegates,Benjamin Harrison,July 23 1782
James Madison,Edmund Randolph,July 23 1782
John Taylor Oilman,Meshech Weare,July 24 1782
Arthur Lee,James Warren,July 24 1782
Charles Thomson. Notes of Debates,July 24-25 1782
The Connecticut Delegates,Jonathan Trumbull,July 29 1782
Abraham Oark,Elias Dayton,July 29 1782
Charles Thomson,Notes of Debates,July 29-30 1782
David Howell,William,Greene,July 30 1782
The Virginia Delegates,Benjamin Harrison,July 30 1782
James Madison,Edmund Randolph. July 30 1782
Charles Thomson,Notes of Debates,July 31-Aug. 2 1782
David Howell,Welcome Arnold,Aug. 3 1782
The North Carolina Delegates,Alexander Martin,Aug. 3 1782
John Taylor Oilman,Meshech Weare,Aug. 5 1782
John Taylor Oilman,Josiah Bartlett,Aug. 5 1782
John Witherspoon,Speech on the Finances,Aug. 5 1782
James Madison,Edmund Randolph,Aug. 5 1782
Charles Thomson,Notes of Debates,Aug. 5-6 1782
David Hbwell,Moses Brown,Aug. 6 1782
The Virginia Delegates,Benjamin Harrison,Aug. 6 1782
Arthur Lee,Samuel Adams,Aug. 6 1782
Thomas McKean,Samuel Adams,Aug. 6 1782
Jesse Root,Jonathan Trumbull,Aug. 7 1782
Charles Thomson,Notes of Debates,Aug. 7-9 1782
The Connecticut Delegates,Jonathan Trumbull,Aug. 10 1782
David Howell,William Ellery,Aug. 10 1782
Charles Thomson,Notes of Debates,Aug. 12 1782
The Virginia Delegates,Benjamin Harrison,Aug. 13 1782
James Madison,Edmund Randolph. Aug. 13 1782
John Rutledge,Horatio Gates,Aug. 14 1782
John Taylor Oilman,Meshech Weare,Aug. 15 1782
Charles Thomson,Notes of Debates,Aug. 15-16 1782
James Duane,Philip Schuyler,Aug. 16 1782
The South Carolina Delegates,George Washington,Aug. 17 1782
The North Carolina Delegates,Alexander Martin,Aug. 19 1782
Charles Thomson,Notes of Debates,Aug. 20 1782
James Duane,George Clinton,Aug. 20 1782
James Madison,Edmund Randolph,Aug. 20 1782
John Taylor Oilman,Meshech Weare,Aug. 21 1782
David Howell,Welcome Arnold,Aug. 23 1782
