Rufus King,Elbridge Gerry,Jan. 7 1787
William Blount,John Gray Blount,Jan. 7 1787
William Blount,John Gray Blount,Jan. 10 1787
The Connecticut Delegates,Samuel Huntington,Jan. 12 1787
William Blount,Richard Caswell,Jan. 12 1787
William Pierce,William Washington,Jan. 14 1787
James Manning,Hezekiah Smith,Jan. 18 1787
Stephen Mix Mitchell,Jeremiah Wadsworth,Jan. 24 1787
William Blount,Richard Caswell,Jan. 28 1787
The Georgia Delegates,Edward Telfair,Jan. 29 1787
Charles Thomson,Certain States,Feb. 2 1787
Charles Thomson,Benjamin Franklin,Feb. 8 1787
Charles Thomson,the Board of Treasury,Feb. 8 1787
Rufus King,John Adams,Feb. 9 1787
Nathaniel Mitchell,Thomas Collins,Feb. 10 1787
Nathaniel Mitchell,Gunning Bedford sr.,Feb. 10 1787
William Blount,Richard Caswell,Feb. 10 1787
Rufus King,Elbridge Gerry,Feb. 11 1787
James Madison,Thomas Jefferson,Feb. 11 1787
The Virginia Delegates,Edmund Randolph,Feb. 12 1787
Charles Thomson,Edmund Randolph,Feb. 16 1787
Rufus King,Elbridge Gerry,Feb. 18 1787
James Madison,Edmund Randolph,Feb. 18 1787
The Virginia Delegates,Edmund Randolph,Feb. 19 1787
Stephen Mix Mitchell,the Committee of the Pay-Table,Feb. 20 1787
The Massachusetts Delegates,James Bowdoin,Feb. 21 1787
James Mitchel Varnum,Benjamin Bourne,Feb. 21 1787
James Madison,George Washington,Feb. 21 1787
Abraham Clark,James Mott,Feb. 24 1787
James Madison,Edmund Pendleton,Feb. 24 1787
The North Carolina Delegates,the Board of Treasury,Feb. 24 1787
James Madison,James Monroe,Feb. 25 1787
The Virginia Delegates,Edmund Randolph,Feb. 26 1787
The North Carolina Delegates,the Board of Treasury,Mar. 1 1787
The Virginia Delegates,Edmund Randolph,Mar. 5 1787
William Irvine,James Wilson,Mar. 6 1787
Benjamin Hawkins,Thomas Jefferson,Mar. 8. 552 1787
Arthur St. Clair,Thomas FitzSimons,Mar. 10 1787
Rufus King,James Madison and William Grayson,Mar. 11 1787
James Madison and William Grayson,Rufus King,Mar. 11 1787
James Madison,Edmund Randolph,Mar. 11 1787
Nathan Dane,Thomas Dwight,Mar. 12 1787
James Mitchel Varnum,Henry Knox,Mar. 13 1787
William Blount,Richard Caswell,Mar. 14 1787
William Blount,John Gray Blount,Mar. 14 1787
James Madison,Edmund Randolph,Mar. 19 1787
James Madison,Thomas Jefferson,Mar. 19 1787
The North Carolina Delegates,Richard Caswell,Mar. 19 1787
Rufus King,Elbridge Gerry,Mar. 25 1787
James Madison,Edmund Randolph,Mar. 25 1787
The Massachusetts Delegates,James Bowdoin,Mar. 27 1787
Charles Thomson,John Sullivan,Mar. 31 1787
Charles Thomson,Samuel Huntington,Mar. 31 1787
William Samuel Johnson,Hugh Williamson,Mar. 31 1787
Edward Carrington,Edmund Randolph,Apr. 2 1787
James Madison,Edmund Randolph,Apr. 2 1787
Thomas Polk,Richard Caswell,Apr. 3 1787
James Mitchel Varnum,John Collins,Apr. 4 1787
William Irvine,the President of Congress (Arthur St. Clair),Apr. 4 1787
Rufus King,Theophilus Parsons,Apr. 8 1787
Rufus King,Elbridge Gerry,Apr. 9 1787
John Armstrong jr.,Benjamin Franklin. Apr. 10 1787
Rufus King,Elbridge Gerry,Apr. 11 1787
Rufus King,Jeremiah Wadsworth,Apr. 11 1787
William Samuel Johnson,Samuel William Johnson,Apr. 12 1787
Edward Carrington,Edmund Randolph,Apr. 12 1787
Charles Thomson,the Several States,Apr. 13 1787
Edward Carrington,Edmund Randolph,Apr. 13 1787
James Madison,Edmund Randolph. Apr. 15 1787
James Madison,George Washington,Apr. 16 1787
Edward Carrington,Edmund Randolph,Apr. 16 1787
William Grayson,William Short,Apr. 16 1787
The North Carolina Delegates,Richard Caswell,Apr. 18 1787
William Blount,Thomas Blount,Apr. 18 1787
William Blount,John Gray Blount. Apr. 18 1787
James Madison,James Monroe. Apr. 19 1787
The Massachusetts Delegates,James Bowdoin,Apr. 22 1787
James Madison,Edmund Pendleton,Apr. 22 1787
James Madison,Edmund Randolph,Apr. 22 1787
James Madison,Thomas Jefferson,Apr. 23 1787
The Rhode Island Delegates,John Collins,Apr. 24 1787
Edward Carrington,Thomas Jefferson,Apr. 24 1787
Charles Thomson,Edmund Randolph,Apr. 30 1787
William Grayson,James Monroe,Apr. 30 1787
James Madison,William Irvine,May 5 1787
Thomas Rodney,Thomas Collins,May 6 1787
Henry Lee jr.,Edmund Randolph,May 7 1787
William Samuel Johnson,Samuel Huntington,May 9 1787
Roger Alden,William Samuel Johnson. May 13 1787
Henry Lee jr.,Edmund Randolph. May 15 1787
Arthur St. Clair,Charles Thomson,May 18 1787
Robert Burton,Richard Caswrll,May 22 1787
William Blount,John Cray Blount,May 22 1787
William Grayson,James Madison,May 24 1787
William Blount,Richard Caswell,May 28 1787
William Blount,John Gray Blount,May 30 1787
Charles Pinckney,Charles Thomson,May 30 1787
Nathan Dane,Rufus King. May 31 1787
Charles Thomson,Alexander Contee Hanson,June 1 1787
James White,Richard Caswell,June 1 1787
Nathan Dane,Nathaniel Gorham,June 6 1787
Charles Thomson,Benjamin Walker,June 7 1787
Charles Thomson,the Board of Treasury,June 7 1787
Henry Lee jr.,Beverley Randolph,June 8 1787
Nathan Dane,Stephen Higginson,June 9 1787
Edward Carrington,Thomas Jefferson,June 9 1787
Benjamin Hawkins,Thomas Jefferson,June 9 1787
William Blount,Joseph Clay,June 11 1787
Nathan Dane,Caleb Davis,June 12 1787
William Grayson,Beverley Randolph,June 12 1787
William Blount,John Gray Blount,June 15 1787
Nathaniel Gorham,Theophilus Parsons,June 18 1787
Nathan Dane,Rufus King,June 19  1 1787
John Armstrong jr.,to William Irvine,June 20 1787
William Grayson,William Irvine,June 20 1787
William Blount,John Gray Blount,June 21 1787
Nathan Dane,Nathaniel Gorham,June 22 1787
Charles Thomson,William Bingham,June 25 1787
William Grayson,Beverley Randolph,June 25 1787
William Grayson,Beverley Randolph,June 27 1787
Henry Lee jr.,unknown,June 28 1787
Charles Thomson,the Several States,July 2 1787
John Kean,John Jay,July 3 1787
Nathan Dane,Rufus King,July 5 1787
William Grayson,Beverley Randolph,July 7 1787
Charles Thomson,William Bingham,July 8 1787
William Blount,Richard Caswell,July 10 1787
