id,Source,Target,label
1186,William Whipple,Josiah Bartlett,Josiah Bartlett
1187,John Adams,James Warren,James Warren
1188,John Hancock,Philip Schuyler,Philip Schuyler
1189,Samuel Adams,Miss Mercy Scollay,Miss Mercy Scollay
1190,Roger Sherman,Jonathan Trumbull jr.,Jonathan Trumbull jr.
1191,Roger Sherman,Jonathan Trumbull jr.,Jonathan Trumbull jr.
1192,Daniel Robcrdcau,Thomas Johnson,Thomas Johnson
1193,James Lovell,John Trumbull,John Trumbull
1194,William Whipple,John Langdon,John Langdon
1195,John Adams,James Warren,James Warren
1196,Committee of Secret Correspondence, Commissioners in Paris, Commissioners in Paris
1197,Elbridge Gerry,Joseph Trumbull,Joseph Trumbull
1198,William EUery,Nicholas Cooke,Nicholas Cooke
1199,John Adams,James Warren,James Warren
1200,Roger Sherman,Jonathan Trumbull jr.,Jonathan Trumbull jr.
1201,Roger Sherman,Joseph Trumbull,Joseph Trumbull
1202,John Hancock,Thomas Johnson jr.,Thomas Johnson jr.
1203,William Ellery,Nicholas Cooke,Nicholas Cooke
1204,John Adams,Mrs. Adams,Mrs. Adams
1205,John Adams,James Warren,James Warren
1206,William Whipple,Josiah Bartlett,Josiah Bartlett
1207,Benjamin Rush,Diary,Diary
1208,Thomas Burke,Abstract of Debates,Abstract of Debates
1209,Roger Sherman,Jonathan Trumbull,Jonathan Trumbull
1210,Committee of Congress,George Washington,George Washington
1211,Richard Henry Lee,George Washington,George Washington
1212,James Sykes,George Read,George Read
1213,John Adams ,unknown,unknown
1214,Thomas Burke,Richard Caswell,Richard Caswell
1215,Massachusetts Delegates, Speaker of House of Representatives, Speaker of House of Representatives
1216,John Adams,James Bowdoin,James Bowdoin
1217,John Adams,James Warren,James Warren
1218,Richard Henry Lee,George Washington,George Washington
1219,Francis Lewis,Abraham Ten Broeck,Abraham Ten Broeck
1220,Roger Sherman,Jonathan Trumbull,Jonathan Trumbull
1221,Benjamin Rumsey,Thomas Johnson jr.,Thomas Johnson jr.
1222,Samuel Adams,James Warren,James Warren
1223,William Duer,Abraham Ten Broeck,Abraham Ten Broeck
1224,George Walton,Lachlan Mcintosh,Lachlan Mcintosh
1225,John Hancock,Horatio Gates,Horatio Gates
1226,Secret Committee,Samuel Purviance,Samuel Purviance
1227,Secret Committee,Robert Purviance,Robert Purviance
1228,William Whipple,John Langdon,John Langdon
1229,Elbridge Gerry,Joseph Trumbull,Joseph Trumbull
1230,John Adams,Mrs. Adams,Mrs. Adams
1231,Richard Henry Lee,Arthur Lee,Arthur Lee
1232,New York Delegates,Abraham Ten Broeck,Abraham Ten Broeck
1233,Qiarles Thomson,George Washington,George Washington
1234,Mann Page jr.,George Weedon,George Weedon
1235,Richard Henry Lee,Patrick Henry,Patrick Henry
1236,Samuel Adams,Samuel Cooper,Samuel Cooper
1237,Roger Sherman,Jonathan Trumbull,Jonathan Trumbull
1238,Oliver Wolcott,Joshua Huntington,Joshua Huntington
1239,John Hancock,George Washington,George Washington
1240,Philip Schuyler,Richard Varick,Richard Varick
1241,William Whipple,Josiah Bartlett,Josiah Bartlett
1242,Maryland Delegates,Thomas Johnson jr.,Thomas Johnson jr.
1243,New York Delegates,Abraham Ten Broeck,Abraham Ten Broeck
1244,Thomas Burke,Richard Caswell,Richard Caswell
1245,John Hancock,Horatio Gates,Horatio Gates
1246,Philip Schuyler,George Washington,George Washington
1247,Maryland Delegates,Thomas Johnson jr.,Thomas Johnson jr.
1248,Robert Morris,Thomas Johnson jr.,Thomas Johnson jr.
1249,Benjamin Rumsey,Thomas Johnson jr.,Thomas Johnson jr.
1250,Daniel Roberdeau,Benjamin Franklin,Benjamin Franklin
1251,James Lovell,Horatio Gates,Horatio Gates
1252,Committee of Foreign Affairs, Commissioners at Paris, Commissioners at Paris
1253,Thomas Burke,Richard Caswell,Richard Caswell
1254,John Adams,James Warren,James Warren
1255,John Hancock,George Washington,George Washington
1256,William Whipple,John Langdon,John Langdon
1257,John Hancock, Thirteen States, Thirteen States
1258,John Adams,Joseph Palmer,Joseph Palmer
1259,John Adams,James Warren,James Warren
1260,William Whipple,Josiah Bartlett ,Josiah Bartlett 
1261,William Ellery,Nicholas Cooke,Nicholas Cooke
1262,New York Delegates, New York Convention, New York Convention
1263,John Adams,Mrs. Adams,Mrs. Adams
1264,William Whipple,John Langdon,John Langdon
1265,John Hancock,George Washington,George Washington
1266,Board of War,George Washington,George Washington
1267,Thomas Burke,Richard Caswell,Richard Caswell
1268,James Lovell,George Washington,George Washington
1269,Roger Sherman,Oliver Wolcott,Oliver Wolcott
1270,Roger Sherman,Jonathan Trumbull,Jonathan Trumbull
1271,Roger Sherman,Jonathan Trumbull,Jonathan Trumbull
1272,Thomas Nelson jr.,George Wy,George Wy
1273,John Adams,Mrs. Adams,Mrs. Adams
1274,Philip Schuyler,George Washington,George Washington
1275,John Hancock,George Washington,George Washington
1276,Richard Henry Lee,Thomas Jefferson,Thomas Jefferson
1277,Virginia Delegates,George Wy,George Wy
1278,Roger Sherman,Oliver Wolcott,Oliver Wolcott
1279,Massachusetts Delegates,James Warren,James Warren
1280,Richard Henry Lee,George Washington,George Washington
1281,James Lovell,Horatio Gates,Horatio Gates
1282,Thomas Burke,Richard Caswell,Richard Caswell
1283,New York Delegates, New York Council of Safety, New York Council of Safety
1284,William Paca, Governor of Maryland, Governor of Maryland
1285,William Paca, Council of Maryland, Council of Maryland
1286,Richard Henry Lee,Patrick Henry,Patrick Henry
1287,John Adams,Thomas Jefferson,Thomas Jefferson
1288,James Lovell,George Washington,George Washington
1289,Daniel Roberdeau,George Washington,George Washington
1290,Jolin Hancock,George Washington,George Washington
1291,William Duer,Robert R. LiviiiKstoii,Robert R. LiviiiKstoii
1292,John Adams,John Sullivan,John Sullivan
1293,Hoard of War,Horatio Gates,Horatio Gates
1294,James Lowell,Joseph Trumbull,Joseph Trumbull
1295,James Lowell,Oliver Wolcott,Oliver Wolcott
1296,Secret Committee,Oliver Tollock,Oliver Tollock
1297,New York Delegates, New York Council of Safety, New York Council of Safety
1298,James Duane,Robert R. Livinpston,Robert R. Livinpston
1299,James Duane,Philip Schuyler,Philip Schuyler
1300,William Ducr,Philip Schuyler,Philip Schuyler
1301,John Adaius,James Warren,James Warren
1302,James Duane,Robert R. Livingston,Robert R. Livingston
1303,John Hancock,John McKinley,John McKinley
1304,James Duane,Robert R. LivinRston,Robert R. LivinRston
1305,Samuel Adams,Richard Henry Lee,Richard Henry Lee
1306,James Duane,Robert R. Livingston,Robert R. Livingston
1307,Robert Morris,Silas Deane,Silas Deane
1308,Samuel Adams,James Warren,James Warren
1309,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
1310,James Lovell,Joseph Trumbull,Joseph Trumbull
1311,James Lovell,William Whipple,William Whipple
1312,James Duane,Robert R. Livingston,Robert R. Livingston
1313,New York Delegates, New York Council of Safety, New York Council of Safety
1314,James Duane,Robert R. Livingston,Robert R. Livingston
1315,James Lovell,Benjamin Franklin,Benjamin Franklin
1316,Thomas Burke,Richard Caswell,Richard Caswell
1317,William Williams,Jonathan Trumbull,Jonathan Trumbull
1318,Henry 03chant, Governor of Rhode Island, Governor of Rhode Island
1319,Henry 03chant, Company of Rhode Island, Company of Rhode Island
1320,James Lovell,William Whipple,William Whipple
1321,John Adams,James Warren,James Warren
1322,John Adams,Nathanael Greene,Nathanael Greene
1323,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
1324,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
1325,Elbridge Gerry,Joseph Trumbull,Joseph Trumbull
1326,John Hancock,Joseph Trumbull,Joseph Trumbull
1327,New York Delegates, New York Council of Safety, New York Council of Safety
1328,William Duer,Robert R. Livingston,Robert R. Livingston
1329,Elbridge Gerry,Joseph Trumbull,Joseph Trumbull
1330,John Hancock, Massachusetts Assembly, Massachusetts Assembly
1331,James Lovell,Joseph Trumbull,Joseph Trumbull
1332,John Hancock,Benedict Arnold,Benedict Arnold
1333,John Hancock, Massachusetts Assembly, Massachusetts Assembly
1334,Samuel Adams,Richard Henry Lee,Richard Henry Lee
1335,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
1336,John Hancock,Philip Schuyler,Philip Schuyler
1337,James Lovell,William Whipple,William Whipple
1338,Thomas Burke,Richard Caswell,Richard Caswell
1339,Samuel Adams,Richard Henrj' Lee,Richard Henrj' Lee
1340,James Lovell,George Washington,George Washington
1341,Charles Thomson,Notes of Debates,Notes of Debates
1342,Charles Thomson,Notes of Debates,Notes of Debates
1343,Henry Laurens,John Lewis Gervais,John Lewis Gervais
1344,Charles Thomson,Notes of Debates,Notes of Debates
1345,Nathaniel Folsom,Meshech Weare,Meshech Weare
1346,Samuel Adams,Paul Revere,Paul Revere
1347,Charles Thomson,Notes of Debates,Notes of Debates
1348,William Duer,Philip Schuyler,Philip Schuyler
1349,New York Delegates, New York Council of Safety, New York Council of Safety
1350,James Lovell,William Whipple,William Whipple
1351,Thomas Burke,Richard Caswell,Richard Caswell
1352,John Hancock, Maryland Assembly, Maryland Assembly
1353,Samuel Adams,James Warren,James Warren
1354,Samuel Adams,James Warren,James Warren
1355,James Lovell,William Whipple,William Whipple
1356,William Williams,Jonathan Trumbull,Jonathan Trumbull
1357,William Williams,Jonathan Trumbull,Jonathan Trumbull
1358,John Hancock,William Heath,William Heath
1359,James Lovell,William Whipple,William Whipple
1360,Thomas Burke,Richard Caswell,Richard Caswell
1361,Henry Laurens,John Lewis Gervais,John Lewis Gervais
1362,George Walton,George Washington,George Washington
1363,Nathaniel Folson,Josiah Bartlett,Josiah Bartlett
1364,William Williams,Jonathan Trumbull,Jonathan Trumbull
1365,John Hancock, New York Assembly, New York Assembly
1366,James Lovell,William Whipple,William Whipple
1367,James Lovell,William Whipple,William Whipple
1368,Henry Laurens,Robert Howe,Robert Howe
1369,Henry Laurens,Lachlan Mcintosh,Lachlan Mcintosh
1370,James Lovell,William Whipple,William Whipple
1371,Henry Laurens,John Rutledge,John Rutledge
1372,Nathaniel Folsom,Josiah Bartlett,Josiah Bartlett
1373,Charles Carroll of Carrollton,Benjamin Franklin,Benjamin Franklin
1374,John Hancock,Horatio Gates,Horatio Gates
1375,Henry Laurens,William Thomson,William Thomson
1376,Henry Laurens,John Rutledge,John Rutledge
1377,Henry 03chant,Nicholas Cooke,Nicholas Cooke
1378,John Hancock,George Washington,George Washington
1379,James Lovell,William Whipple,William Whipple
1380,John Adams,James Warren,James Warren
1381,Henry Laurens,John Rutledge,John Rutledge
1382,John Adams,Mrs. Adams,Mrs. Adams
1383,George Frost,Josiah Bartlett,Josiah Bartlett
1384,George Frost,Josiah Bartlett,Josiah Bartlett
1385,William Paca,Thomas Johnson jr.,Thomas Johnson jr.
1386,Henry Laurens,Joseph Clay,Joseph Clay
1387,John Adams,Mrs. Adams,Mrs. Adams
1388,Benjamin Harrison,George Washington,George Washington
1389,Roger Sherman,Horatio Gates,Horatio Gates
1390,Henry Laurens,John Lewis Gervais,John Lewis Gervais
1391,John Adams,Mrs. Adams,Mrs. Adams
1392,James Lovell,Oliver Wolcott,Oliver Wolcott
1393,John Hancock,George Washington,George Washington
1394,New Hampshire Delegates,Meshech Weare,Meshech Weare
1395,John Hancock,George Washington,George Washington
1396,James Duane,Philip Schuyler,Philip Schuyler
1397,Cornelius Harnett,Richard Caswell,Richard Caswell
1398,John Hancock, Pennsylvania Council, Pennsylvania Council
1399,Henry 03chant,Nicholas Cooke,Nicholas Cooke
1400,John Hancock, New Hampshire Assembly, New Hampshire Assembly
1401,Richard Henry Lee,Thomas Jefferson,Thomas Jefferson
1402,Henry Laurens,Heads of Inquiry as to State of Army,Heads of Inquiry as to State of Army
1403,Henry Laurens,Lachlan Mcintosh,Lachlan Mcintosh
1404,New Hampshire Delegates,Meshech Weare,Meshech Weare
1405,Thomas Burke,Richard Caswell,Richard Caswell
1406,Committee of Intelligence,George Washington,George Washington
1407,James Duane,Robert R. Livingston,Robert R. Livingston
1408,John Hancock,Israel riitiiani,Israel riitiiani
1409,Robert Morris,William Whipple,William Whipple
1410,Committee of CoiiRress,Joseph Trumhbull,Joseph Trumhbull
1411,John Hancock,William Livingston,William Livingston
1412,Henry Laurens,John Lewis Gervais,John Lewis Gervais
1413,Committee of Congress,George Washington,George Washington
1414,John Hancock,George Washington,George Washington
1415,James Lowell,Joseph Triimhull,Joseph Triimhull
1416,Kliphalet Dyer,Joseph Trumbull,Joseph Trumbull
1417,James Lowell,Vicomte dv Mauroy,Vicomte dv Mauroy
1418,Richard Henry Lee,Patrick Henry,Patrick Henry
1419,John Adams,Mrs. Adams,Mrs. Adams
1420,John Hancock,George Washington,George Washington
1421,Henry Laurens,John Rutledge,John Rutledge
1422,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
1423,John Hancock,George Washington,George Washington
1424,John Hancock,William Livingston,William Livingston
1425,John Hancock,George Washington,George Washington
1426,Samuel Chase,Thomas Johnson jr.,Thomas Johnson jr.
1427,John Adams,Mrs. Adams,Mrs. Adams
1428,Henry Laurens,George Galphin,George Galphin
1429,Henry 03chant, Rhode Island Assembly, Rhode Island Assembly
1430,James Lovell,William Whipple,William Whipple
1431,William Williams,Jonathan Trumbull,Jonathan Trumbull
1432,Thomas Burke,Richard Caswell,Richard Caswell
1433,John Adams,Diary,Diary
1434,Henry Laurens,John Lewis Gervais,John Lewis Gervais
1435,John Adams,Diary,Diary
1436,Thomas Burke,Richard Caswell,Richard Caswell
1437,Charles Carroll of Carrollton,George Washington,George Washington
1438,James Lovell,Joseph Trumbull,Joseph Trumbull
1439,654. I^Ibridge Gerry,George Washington,George Washington
1440,Elbridge Gerry,George Washington,George Washington
1441,Cornelius Harnett,William Wilkinson,William Wilkinson
1442,Jolin Hancock,George Washington,George Washington
1443,Cornelius Harnett,Richard Caswell,Richard Caswell
1444,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
1445,John Hancock,George Washington,George Washington
1446,John Adams,Mrs. Adams,Mrs. Adams
1447,William Williams,Jonathan Trumbull,Jonathan Trumbull
1448,Daniel Roberdeau,Thomas Wharton jr.,Thomas Wharton jr.
1449,Elbridge Gerry,Joseph Trumbull,Joseph Trumbull
1450,John Hancock, Massachusetts Council, Massachusetts Council
1451,James Duane,George Clinton,George Clinton
1452,John Penn,Richard Caswell,Richard Caswell
1453,John Hancock,Robert Morris,Robert Morris
1454,James Duane,Philip Schuyler,Philip Schuyler
1455,James Duane,Jonathan Trumbull jr.,Jonathan Trumbull jr.
1456,James Lovell,Horatio Gates,Horatio Gates
1457,Committee of Foreign Affairs, Commissioners in Paris, Commissioners in Paris
1458,John Hancock,John Nixon,John Nixon
1459,Richard Henry Lee,Patrick Henry,Patrick Henry
1460,John Hancock, Massachusetts Council, Massachusetts Council
1461,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
1462,James Duane,Philip Schuyler,Philip Schuyler
1463,Henry Laurens,John Lewis Gervais,John Lewis Gervais
1464,Samuel Chase,Thomas Johnson jr.,Thomas Johnson jr.
1465,Cornelius Harnett,Richard Caswell,Richard Caswell
1466,Henry Laurens,John Laurens,John Laurens
1467,Daniel Roberdeau,Thomas Wharton jr.,Thomas Wharton jr.
1468,William Williams,Jonathan Trumbull,Jonathan Trumbull
1469,Eliphalet Dyer,John Sullivan,John Sullivan
1470,John Hancock,George Washington,George Washington
1471,Thomas Burke,John Sullivan,John Sullivan
1472,Daniel Roberdeau,Thomas Wharton jr.,Thomas Wharton jr.
1473,John Hancock,George Washington,George Washington
1474,Henry Laurens,John Laurens,John Laurens
1475,Henry Laurens,John Rutledge,John Rutledge
1476,Henry Laurens,John Lewis Gervais,John Lewis Gervais
1477,Richard Henry Lee,Hall,Hall
1478,Richard Henry Lee,Sellers,Sellers
1479,John Hancock,George Washington,George Washington
1480,John Harvie,Thomas Jefferson,Thomas Jefferson
1481,John Hancock,Mrs. Hancock,Mrs. Hancock
1482,Henry Laurens,John Lewis Gervais,John Lewis Gervais
1483,Henry Laurens,John Rutledge,John Rutledge
1484,Henry Laurens,Robert Howe,Robert Howe
1485,North Carolina Delegates,Richard Caswell,Richard Caswell
1486,Richard Henry Lee,George Washington,George Washington
1487,William Williams,Jabez Huntington,Jabez Huntington
1488,Eliphalet Dyer,John Sullivan,John Sullivan
1489,John Adams,Mrs. Adams,Mrs. Adams
1490,Henry 03chant,Nicholas Cooke,Nicholas Cooke
1491,Committee of Congress,Jasper Yeates,Jasper Yeates
1492,Committee of Congress,Edward Hand,Edward Hand
1493,Committee of Congress,unknown,unknown
1494,John Adams,Mrs. Adams,Mrs. Adams
1495,John Hancock,George Washington,George Washington
1496,John Hancock,Thomas Jefferson,Thomas Jefferson
1497,Richard Henry Lee,Patrick Henry,Patrick Henry
1498,Nathaniel Folsom,Meshech Weare,Meshech Weare
1499,John Adams,Mrs Adams,Mrs Adams
1500,Richard Henry Lee,Patrick Henry,Patrick Henry
1501,Samuel Adams,James Warren,James Warren
1502,Samuel Adams,James Warren,James Warren
1503,Daniel Roberdeau,Edward Hand,Edward Hand
1504,Nathaniel Folsom,Josiah Bartlett,Josiah Bartlett
1505,Daniel Roberdeau,Timothy Matlack,Timothy Matlack
1506,Richard Henry Lee,Thomas Mifflin,Thomas Mifflin
1507,Board of War,Horatio Gates,Horatio Gates
1508,James Lovell,William Whipple,William Whipple
1509,Roger Sherman,Richard Henry Lee,Richard Henry Lee
1510,Samuel Adams,James Warren,James Warren
1511,Thomas Burke,Richard Caswell,Richard Caswell
1512,William Williams,Joseph Trumbull,Joseph Trumbull
1513,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
1514,Henry Laurens,Horatio Gates,Horatio Gates
1515,Eliphalet Dyer,Horatio Gates,Horatio Gates
1516,James Lovell,Horatio Gates,Horatio Gates
1517,William Duer,George Clinton,George Clinton
1518,Daniel Roberdeau,Thomas Wharton jr.,Thomas Wharton jr.
1519,Cornelius Harnett,Thomas Burke,Thomas Burke
1520,Henry Laurens,George Washington,George Washington
1521,Pennsylvania Delegates,Thomas Wharton jr.,Thomas Wharton jr.
1522,Henry Laurens,Israel Putnam,Israel Putnam
1523,Henry Laurens,Horatio Gates,Horatio Gates
1524,Richard Henry Lee,Samuel Adams,Samuel Adams
1525,Thomas Burke,Notes on Articles of Confederation,Notes on Articles of Confederation
1526,Thomas Burke,Re03ks concerning Confederation,Re03ks concerning Confederation
1527,Henry Laurens,Jolm Lewis ncrvais,Jolm Lewis ncrvais
1528,Jonathan Ehner,William Maxwell,William Maxwell
1529,James Duane,Philip Schuyler,Philip Schuyler
1530,Henry Laurens,George Washington,George Washington
1531,John Penn,William Woodford,William Woodford
1532,Daniel Robcrdeau,Thomas Wharton jr.,Thomas Wharton jr.
1533,Cornelius I lamett,Thomas Hurke,Thomas Hurke
1534,Richard Henry Lee,George Washington,George Washington
1535,Nathaniel Folsom,Meshech Weare,Meshech Weare
1536,Commercial Conmiittec,Edward Hand,Edward Hand
1537,James Duane, New York Council of Safety, New York Council of Safety
1538,Henry Laurens,George Washington,George Washington
1539,Henry Laurens,Horatio Gates,Horatio Gates
1540,Richard Henry Lee,Samuel Adams,Samuel Adams
1541,Richard Henry Lee,Meshech Weare,Meshech Weare
1542,Henry Laurens,Richard Caswell,Richard Caswell
1543,James Lovell,Horatio Gates,Horatio Gates
1544,Elbridge Gerry,Joseph Trumbull,Joseph Trumbull
1545,Henry Laurens,Horatio Gates,Horatio Gates
1546,William Williams,Joseph Trumbull,Joseph Trumbull
1547,William Williams,Jonathan Trumbull,Jonathan Trumbull
1548,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
1549,Henry Laurens,Horatio Gates,Horatio Gates
1550,Henry Laurens,John Laurens,John Laurens
1551,William Ellery,Nicholas Cooke,Nicholas Cooke
1552,Cornelius Harnett,William Wilkinson,William Wilkinson
1553,Henry Laurens,John Rutledge,John Rutledge
1554,Henry Laurens,Robert Treat Paine,Robert Treat Paine
1555,James Lovell,Richard Henry Lee,Richard Henry Lee
1556,James Lovell,John Adams,John Adams
1557,James Lovell,Samuel Adams,Samuel Adams
1558,Cornelius Harnett,Thomas Burke,Thomas Burke
1559,Cornelius Harnett,William Wilkinson,William Wilkinson
1560,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
1561,Committee of Congress,George Washington,George Washington
1562,Henry Laurens, Continental Congress, Continental Congress
1563,William Ellery,Nicholas Cooke,Nicholas Cooke
1564,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
1565,James Duane,Horatio Gates,Horatio Gates
1566,James Duane,Philip Schuyler,Philip Schuyler
1567,Jonathan Bayard Smith,George Bryan,George Bryan
1568,Jonathan Bayard Smith,George Bryan,George Bryan
1569,Henry Laurens,Philip Schuyler,Philip Schuyler
1570,James Lovell,Samuel Adams,Samuel Adams
1571,Abraham Clark,Lord Stirling,Lord Stirling
1572,E[bridge Gerry,Robert Morris,Robert Morris
1573,Jonathan Bayard Smith,Thomas Wharton jr.,Thomas Wharton jr.
1574,Henry Laurens,William Heath,William Heath
1575,William Ellery,William Whipple,William Whipple
1576,Daniel Roberdeau,Thomas Wharton jr.,Thomas Wharton jr.
1577,Henry Laurens,James Duane,James Duane
1578,Daniel Roberdeau,Thomas Wharton jr.,Thomas Wharton jr.
1579,Henry Laurens,William Heath,William Heath
1580,Daniel Roberdeau,George Bryan,George Bryan
1581,Henry Laurens,John Lewis Gervais,John Lewis Gervais
1582,Francis Lightfoot Lee,Thomas W^harton jr.,Thomas W^harton jr.
1583,Francis Lightfoot Lee,Thomas Johnson jr.,Thomas Johnson jr.
1584,Henry Laurens,Robert Morris,Robert Morris
1585,Charles Thomson,Robert Morris,Robert Morris
1586,James Lovell,Samuel Adams,Samuel Adams
1587,Henry Laurens, Navy Board, Navy Board
1588,Nathaniel Folsom,Josiah Bartlett,Josiah Bartlett
1589,John Wirspoon,Speech on Convention with Burgoyne,Speech on Convention with Burgoyne
1590,John Penn,Jethro Sumner,Jethro Sumner
1591,Henry Laurens,Jonathan Trumbull jr.,Jonathan Trumbull jr.
1592,Henry Laurens,Jean de Kermovan,Jean de Kermovan
1593,Henry Laurens,Nicholas Cooke,Nicholas Cooke
1594,William Ellery,Nicholas Cooke,Nicholas Cooke
1595,Henry Laurens,William Heath,William Heath
1596,Henry Laurens,George Washington,George Washington
1597,Henry Laurens,Jonathan Trumbull,Jonathan Trumbull
1598,Jonathan Bayard Smith,Timothy Matlack,Timothy Matlack
1599,Francis Lewis,Pierre Van Cortlandt,Pierre Van Cortlandt
1600,Francis Lewis,Evert Bancker,Evert Bancker
1601,Henry Laurens,Jean de Kermovan,Jean de Kermovan
1602,Henry Laurens,Ephraim Blaine,Ephraim Blaine
1603,Henry Laurens,William Heath,William Heath
1604,Henry Laurens,Notes on Burgoyne's Letter to Gates,Notes on Burgoyne's Letter to Gates
1605,Henry Laurens,John Laurens,John Laurens
1606,Henry Laurens,Thomas Johnson jr.,Thomas Johnson jr.
1607,Henry Laurens,Richard Caswell,Richard Caswell
1608,Henry Laurens,Samuel Purviance,Samuel Purviance
1609,Henry Laurens,Robert Purviance,Robert Purviance
1610,James Duane,Henry Laurens,Henry Laurens
1611,Henry Laurens,Marquis de Lafayette,Marquis de Lafayette
1612,James Lovell,Samuel Adams,Samuel Adams
1613,Elbridge Gerry,George Washington,George Washington
1614,Henry Laurens,William Heath,William Heath
1615,Henry Laurens,George Clinton,George Clinton
1616,Henry Laurens,John Laurens,John Laurens
1617,William Ellery,Nicholas Cooke,Nicholas Cooke
1618,Elbridge Gerry,Timothy Pickering,Timothy Pickering
1619, Commercial Committee,Samuel Purviance,Samuel Purviance
1620, Commercial Committee,Robert Purviance,Robert Purviance
1621,Abraham Clark,Lord Stirling,Lord Stirling
1622,Daniel Roberdeau,Thomas Wharton jr.,Thomas Wharton jr.
1623,Henry Laurens,George Washington,George Washington
1624,Jonathan Bayard Smith,Timothy Matlack,Timothy Matlack
1625,James Lovell,Samuel Adams,Samuel Adams
1626,Daniel Roberdeau,John Adams,John Adams
1627,Henry Laurens,William Heath,William Heath
1628,Joseph Jones,George Washington,George Washington
1629,James Lovell,Samuel Adams,Samuel Adams
1630,Henry Laurens,Baron de Kalb,Baron de Kalb
1631,Henry Laurens, Marquis de Lafayette, Marquis de Lafayette
1632,Henry Laurens,John Laurens,John Laurens
1633,Henry Laurens,Thomas Johnson jr.,Thomas Johnson jr.
1634,Henry Laurens,John Laurens,John Laurens
1635,Daniel Roberdeau,Thomas Wharton jr.,Thomas Wharton jr.
1636,Gouverneur Morris,Henry Laurens,Henry Laurens
1637,Henry Laurens,Isaac Motte,Isaac Motte
1638,James Lovell,Joseph Trumbull,Joseph Trumbull
1639,Daniel Roberdeau,George Brj'an,George Brj'an
1640,Francis Lewis,Thomas Johnson jr.,Thomas Johnson jr.
1641,John Henry jr.,to Thomas Johnson jr.,to Thomas Johnson jr.
1642,Henry Laurens,George Washington,George Washington
1643,Henry Laurens, Chevalier de Laneuville, Chevalier de Laneuville
1644,John Wirspoon,William Churchill Houston,William Churchill Houston
1645,Henry Laurens, Marquis de Lafayette, Marquis de Lafayette
1646,Henry Laurens,John Laurens,John Laurens
1647, Committee of Conference,Minutes,Minutes
1648,Daniel Roberdeau,Thomas Wharton jr.,Thomas Wharton jr.
1649,Henry Laurens,John Rutledge,John Rutledge
1650, Committee of Conference,Minutes,Minutes
1651,Cornelius Harnett,Richard Caswell,Richard Caswell
1652,George Frost,Josiah Bartlett,Josiah Bartlett
1653,Gouverneur Morris,John Jay,John Jay
1654,John 'Wirspoon,Benjamin Rush,Benjamin Rush
1655,James Lovell,Benjamin Lincoln,Benjamin Lincoln
1656, Committee of Conference,Minutes,Minutes
1657,Henry Laurens,John Laurens,John Laurens
1658,Jonathan Bayard Smith,George Bryan,George Bryan
1659,John Penn,Robert Morris,Robert Morris
1660, Committee of Conference,Miriutes,Miriutes
1661,James Lovell,Richard Henry Lee,Richard Henry Lee
1662,John Penn,odorick Bland,odorick Bland
1663,James Lovell,Samuel Adams,Samuel Adams
1664, Committee of Conference,Minutes,Minutes
1665,Henry Laurens, Marquis de Lafayette, Marquis de Lafayette
1666,Elbridge Gerry,Henry Knox,Henry Knox
1667,Elbridge Gerry,Samuel Adams,Samuel Adams
1668,James Lovell,John Langdon,John Langdon
1669,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
1670,Henry Laurens,Jonathan Trumbull,Jonathan Trumbull
1671,Cornelius Harnett,Richard Caswell,Richard Caswell
1672, Committee of Conference,Minutes,Minutes
1673, Committee of Conference,George Washington,George Washington
1674,Henry Laurens,Baron de Kalb,Baron de Kalb
1675,Thomas McKean,George Read,George Read
1676, Committee of Conference,Minutes,Minutes
1677,William Ellery,William Churchill Houston,William Churchill Houston
1678,James Forbes,Thomas Johnson jr.,Thomas Johnson jr.
1679,John Henry jr.,to Thomas Johnson jr.,to Thomas Johnson jr.
1680, Committee of Conference,Minutes,Minutes
1681, Committee of Conference,Thomas Johnson jr.,Thomas Johnson jr.
1682,Daniel Roberdeau,Thomas Wharton jr.,Thomas Wharton jr.
1683,Eliphalet Dyer,William Williams,William Williams
1684, Committee of Conference,Minutes,Minutes
1685,Oliver Wolcott,Mrs. Wolcott,Mrs. Wolcott
1686,Henry Laurens,Joseph Trumbull,Joseph Trumbull
1687,John Penn,Robert R. Livingston,Robert R. Livingston
1688,Henry Laurens,George Washington,George Washington
1689, Committee of Conference,Minutes,Minutes
1690,Henry Laurens,Francis Dana,Francis Dana
1691,Henry Laurens,William Heath,William Heath
1692,Jonathan Bayard Smith,Joseph Reed,Joseph Reed
1693,Daniel Roberdeau,James McLene,James McLene
1694, Commercial Committee,Robert Morris,Robert Morris
1695, Committee of Conference,Minutes,Minutes
