id,Source,Target,label
376,John Hancock,Philip Schuyler,Philip Schuyler
377,John Hancock,Richard Montgomery,Richard Montgomery
378,John Hancock,David Wooster,David Wooster
379,Committee of Secret Correspondence,Arthur Lee,Arthur Lee
380,Joseph Hewes,Samuel Johnston,Samuel Johnston
381,John Hancock,George Washington,George Washington
382,John Hancock,Jonathan Trumbull sr.,Jonathan Trumbull sr.
383,Samuel Ward,Henry Ward,Henry Ward
384,John Adams,Mrs. Adams,Mrs. Adams
385,John Adams,James Warren,James Warren
386,Samuel Adams,James Warren,James Warren
387,John Hancock,George Washington,George Washington
388,Robert Morris,unknown,unknown
389,William Livingston,Lord Stirling,Lord Stirling
390,John Adams,Diary,Diary
391,Thomas Jefferson,John Page,John Page
392,Francis Lightfoot Lee,Landon Carter,Landon Carter
393,Committee of Secret Correspondence,Arthur Lee,Arthur Lee
394,Richard Smith,Diary,Diary
395,Richard Smith,Diary,Diary
396,Richard Smith,Diary,Diary
397,Silas Deane,Mrs. Deane,Mrs. Deane
398,George Read,Airs. Read,Airs. Read
399,Richard Smith,Diary,Diary
400,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
401,Richard Smith,Diary,Diary
402,Richard Smith,Diary,Diary
403,William Livingston,Lord Stirling,Lord Stirling
404,Richard Smith,Diary,Diary
405,James Duane,Robert R. Livingston,Robert R. Livingston
406,Josiah Bartlett, New Hampshire Committee of Safety, New Hampshire Committee of Safety
407,Richard Smith,Diary,Diary
408,Samuel Adams,John Adams,John Adams
409,Richard Smith,Diary,Diary
410,John Hancock,George Washington,George Washington
411,Richard Smith,Diary,Diary
412,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
413,Richard Smith,Diary,Diary
414,Richard Smith,Diary,Diary
415,Richard Smith,Diary,Diary
416,Richard Smith,Diary,Diary
417,Richard Smith,Diary,Diary
418,Massachusetts Delegates, Massachusetts Assembly, Massachusetts Assembly
419,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
420,Richard Smith,Diary,Diary
421,Richard Smith,Diary,Diary
422,Richard Smith,Diary,Diary
423,Richard Smith,Diary,Diary
424,Joseph Hewes,Samuel Johnston,Samuel Johnston
425,Richard Smith,Samuel Tucker,Samuel Tucker
426,Richard Smith,Diary,Diary
427,New York Delegates, New York Committee of Safety, New York Committee of Safety
428,John Hancock,George Washington,George Washington
429,Richard Smith,Diary,Diary
430,Joseph Hewes,Samuel Johnston,Samuel Johnston
431,Samuel Ward,Nicholas Cooke,Nicholas Cooke
432,Samuel Adams,James Warren,James Warren
433,Richard Smith,Diary,Diary
434,Josiah Bartlett,John Langdon,John Langdon
435,Richard Smith,Diary,Diary
436,Josiah Bartlett, New Hampshire Convention or Committee of Safety, New Hampshire Convention or Committee of Safety
437,Samuel Adams,James Warren,James Warren
438,John Hancock,Philip Schuyler,Philip Schuyler
439,Richard Smith,Diary,Diary
440,Richard Smith,Diary,Diary
441,New York Delegates, New York Committee of Safety, New York Committee of Safety
442,John Hancock, New York Convention, New York Convention
443,Richard Smith,Diary,Diary
444,Silas Deane,Mrs. Deane,Mrs. Deane
445,Richard Smith,Diary,Diary
446,Richard Smith,Diary,Diary
447,Samuel Adams,John Adams,John Adams
448,Eliphalet Dyer,Joseph Trumbull,Joseph Trumbull
449,Richard Smith,Diary,Diary
450,Thomas Lynch,George Washington,George Washington
451,John Hancock,George Washington,George Washington
452,Oliver Wolcott,Mrs. Wolcott,Mrs. Wolcott
453,Richard Smith,Diary,Diary
454,Andrew Allen, Chairman of Pennsylvania Committee of Safety, Chairman of Pennsylvania Committee of Safety
455,Richard Smith,Diary,Diary
456,Richard Smith,Diary,Diary
457,Thomas McKean,George Read,George Read
458,Roger Sherman,Zebulon Butler,Zebulon Butler
459,Josiah Bartlett, New Hampshire Committee of Safety, New Hampshire Committee of Safety
460,John Hancock,Philip Schuyler,Philip Schuyler
461,Thomas Lynch,Philip Schuyler,Philip Schuyler
462,Richard Smith,Diary,Diary
463,John Hancock,George Washington,George Washington
464,John Hancock, New Hampshire Convention, New Hampshire Convention
465,Silas Deane,Mrs. Deane,Mrs. Deane
466,Oliver Wolcott,Philip Schuyler,Philip Schuyler
467,Richard Smith,Diary,Diary
468,Richard Smith,Diary,Diary
469,John Hancock,William Maxwell,William Maxwell
