Pierse Long,Meshech Weare,Jan. 1 1785
James Monroe,Patrick Henry,Jan. 1 1785
Thomas Stone,the Maryland General Assembly,Jan. 11 1785
David Howell,William Greene,Jan. 12 1785
Abiel Foster,Meshech Weare,Jan. 14 1785
Hugh Williamson,John Dickinson,Jan. 14 1785
Abiel Foster,Meshech Weare,Jan. 15 1785
Pierse Long,John Sullivan,Jan. 15 1785
Richard Henry Lee,George Washington,Jan. 16 1785
Samuel Hardy,Patrick Henry,Jan. 17 1785
Joseph Gardner,John Dickinson,Jan. 19 1785
Richard Henry Lee,Thomas Lee Shippen,Jan. 20 1785
The President of Congress (Richard Henry Lee),the Several States,Jan. 21 1785
Rufus King,Richard Henry Lee,Jan. 22 1785
Richard Henry Lee,John Rutledge,Jan. 24 1785
Rufus King,John Jay,Jan. 24 1785
The Connecticut Delegates,Matthew Griswold,Jan. 24 1785
Lambert Cadwalader,Benjamin Rush,Jan. 25 1785
William Samuel Johnson,Jonathan Sturges,Jan. 26 1785
Samuel Holten,John Hancock,Jan. 27 1785
The Pennsylvania Delegates,John Dickinson,Jan. 27 1785
William Ellery,Christopher Ellery,Jan. 28 1785
William Ellery,William Greene,Jan. 28 1785
David Howell,Benjamin Rush,Jan. 28 1785
Pierse Long,Meshech Weare,Jan. 31 1785
Pierse Long,John Langdon,Jan. 31 1785
James McHenry,Benjamin Rush,Jan. 31 1785
James Monroe,James Madison,Feb. 1 1785
Jacob Read,Robert Morris,Feb. 1 1785
Richard Henry Lee,Benjamin Rush,Feb. 6 1785
The Massachusetts Delegates,the Massachusetts Assembly,Feb. 7 1785
The Pennsylvania Delegates,John Dickinson,Feb. 7 1785
David Howell,William Greene,Feb. 9 1785
The Maryland Delegates,Motion,Feb. 10 1785
Joseph Gardner,John Bayard,Feb. 11 1785
The Maryland Delegates,William Paca,Feb. 11 1785
The Massachusetts Delegates,the Massachusetts Assembly,Feb. 12 1785
The Virginia Delegates,Patrick Henry,Feb. 13 1785
Richard Henry Lee,George Washington,Feb. 14 1785
Richard Henry Lee,Patrick Henry,Feb. 14 1785
Elbridge Gerry,John Adams,Feb. 14 1785
Richard Henry Lee,Thomas Lee Shippen,Feb. 17 1785
David Howell,unknown,Feb. 20 1785
Elbridge Gerry,John Adams,Feb. 24 1785
The Connecticut Delegates,Matthew Griswold,Feb. 24 1785
Rufus King,Samuel Adams,Feb. 25 1785
George Partridge,Samuel Adams,Feb. 25 1785
Elbridge Gerry,Thomas Jefferson,Feb. 25 1785
Charles Thomson,the Several States,Feb. 26 1785
James Wilson,John Dickinson,Feb. 26 1785
Richard Henry Lee,George Washington,Feb. 27 1785
The New Hampshire Delegates,Meshech Weare,Feb. 27 1785
Samuel Holten,John Hancock,Feb. 28 1785
John Sitgreaves,John Gray Blount and Thomas Blount,Feb. 28 1785
Charles Thomson,Sundry Printers,Mar. 1 1785
Charles Thomson,the Delegates of Twelve States,Mar. 1 1785
The North Carolina Delegates,Alexander Martin,Mar. 1 1785
Charles Thomson,John Jay,Mar. 2 1785
Charles Thomson,Sundry Printers,Mar. 3 1785
Charles Thomson,Sundry Printers in New York,Mar. 3 1785
Walter Livingston,John Taylor,Mar. 3 1785
Charles Thomson,Robert Morris,Mar. 4 1785
Elbridge Gerry,Timothy Pickering,Mar. 4 1785
Charles Thomson,Thomas Jefferson,Mar. 6 1785
James Monroe,James Madison. Mar. 6 1785
David Howell,Jabez Bowen,Mar. 7 1785
George Partridge,Henry Knox,Mar. 8 1785
The Pennsylvania Delegates,John Dickinson,Mar. 9 1785
John Sitgreaves,William Blount,Mar. 9 1785
Jacob Read,George Washington,Mar. 9 1785
Rufus King,Henry Knox,Mar. 10 1785
William Grayson,George Washington,Mar. 10 1785
Richard Dobbs Spaight,James Iredell,Mar. 10 1785
William Churchill Houston,Samuel Dick,Mar. 11 1785
James McHenry,Daniel of St. Thomas Jenifer,Mar. 11 1785
Richard Henry Lee,Samuel Adams,Mar. 14 1785
Charles Thomson,the Several States,Mar. 18 1785
The North Carolina Delegates,Alexander Martin,Mar. 18 1785
Rufus King,Elbridge Gerry,Mar. 20 1785
Charles Thomson,the Commissioners appointed to negotiate with the Southern Indians,Mar. 24 1785
Charles Thomson,Certain States,Mar. 24 1785
Rufus King,Elbridge Gerry,Mar. 24 1785
Abiel Foster,Thomas Jefferson,Mar. 26 1785
William Samuel Johnson,Jeremiah Wadsworth. Mar. 26 1785
Richard Dobbs Spaight,William Blount,Mar. 27 1785
Charles Thomson,Certain States,Mar. 28 1785
William Hindman,William Paca. Mar. 28 1785
Hugh Williamson,Richard Caswell,Mar. 28 1785
William Hindman,William Paca,Mar. 30 1785
Rufus King,Elbridge Gerry,Mar. 31 1785
Rufus King,Elbridge Gerry,Mar. 31 1785
The Virginia Delegates,Patrick Henry,Apr. 2 1785
William Houstoun,Samuel Elbert,Apr. 2 1785
Charles Thomson,Mrs. Hannah Thomson,Apr. 3 1785
Samuel Hardy,William Short,Apr. 5 1785
Richard Henry Lee,Samuel Adams,Apr. 7 1785
Rufus King,John Jay,Apr. 8 1785
Samuel Holten,Samuel Adams,Apr. 11 1785
Rufus King,Elbridge Gerry,Apr. 11 1785
Charles Thomson,Certain States,Apr. 12 1785
James Monroe,Thomas Jefferson,Apr. 12 1785
John Sitgreaves,John Gray Blount,Apr. 13 1785
Richard Henry Lee,John Adams,Apr. 14 1785
Charles Thomson,Meschech Weare and John Hancock,Apr. 15 1785
Rufus King,Timothy Pickering,Apr. 15 1785
William Grayson,George Washington,Apr. 15 1785
Richard Henry Lee,George Washington,Apr. 18 1785
Rufus King,Elbridge Gerry,Apr. 18 1785
William Hindman,William Paca,Apr. 18 1785
William Samuel Johnson,Roger Sherman,Apr. 20 1785
Charles Thomson,George Washington,Apr. 22 1785
Rufus King,Elbridge Gerry,Apr. 26 1785
Jacob Read,Charles Thomson,Apr. 26 1785
William Grayson,Timothy Pickering,Apr. 27 1785
David Howell,William Greene,Apr. 29 1785
Richard Henry Lee,the States of New Jersey; Connecticut; Delaware; Georgia,Apr. 30 1785
Rufus King,Elbridge Gerry,May 1 1785
William Grayson,James Madison,May 1 1785
Richard Henry Lee,George Washington,May 3 1785
William Samuel Johnson,Joseph Piatt Cooke,May 4 1785
Richard Henry Lee,George Washington,May 7 1785
Rufus King,Elbridge Gerry,May 8 1785
Rufus King,Timothy Pickering,May 8 1785
James Monroe,James Madison,May 8 1785
William Grayson,George Washington,May 8 1785
Richard Henry Lee,Thomas Jefferson,May 16 1785
The Virginia Delegates,Patrick Henry,May 16 1785
Rufus King,Elbridge Gerry,May 19 1785
Richard Henry Lee,Samuel Adams,May 20 1785
Richard Henry Lee,Thomas Lee Shippen,May 22 1785
Samuel Holten,Samuel Alleyne Otis,May 25 1785
Rufus King,Elbridge Gerry,May 27 1785
The Connecticut Delegates,Matthew Griswold,May 27 1785
Samuel Dick,Mrs. Dick,May 27 1785
Samuel Dick,William Hall,May 27 1785
Samuel Dick,Thomas Sinnickson,May 27 1785
Richard Henry Lee,John Adams,May 28 1785
Charles Thomson,Certain States,May 28 1785
Charles Thomson,Richard Caswell,May 28 1785
William Grayson,James Madison,May 28 1785
The New Hampshire Delegates,Meshech Weare,May 29 1785
Richard Henry Lee,James Madison,May 30 1785
Rufus King,Timothy Pickering,May 30 1785
Charles Thomson,the Several States,May 31 1785
James Monroe,John Jay,June 2 1785
Richard Dobbs Spaight,Richard Caswell,June 5 1785
The New Hampshire Delegates,Meshech Weare,June 8 1785
Charles Thomson,Certain States,June 9 1785
Richard Henry Lee,the Marquis de Lafayette,June 13 1785
Richard Henry Lee,Thomas Lee Shippen,June 13 1785
Richard Henry Lee,William Short,June 13 1785
Samuel Hardy,William Short,June 14 1785
William Grayson,William Short,June 15 1785
Charles Thomson,John Jay,June 16 1785
Samuel Holten,James Bowdoin,June 16 1785
James Monroe,Thomas Jefferson,June 16 1785
Rufus King,Timothy Pickering,June 17 1785
Hugh Williamson,Richard Caswell,June 18 1785
John Beatty,Samuel Dick,June 21 1785
David Howell,Jabez Bowen,June 24 1785
William Hindman,William Paca,June 24 1785
John Habersham,Joseph Clay,June 24 1785
William Houstoun,Samuel Elbert,June 26 1785
The New Hampshire Delegates,Meshech Weare,June 27 1785
Rufus King,Henry Knox,June 27 1785
The Virginia Delegates,Patrick Henry,June 27 1785
William Grayson,James Madison,June 27 1785
Hugh Williamson,Richard Caswell,June 27 1785
John Beatty,Samuel Dick,June 28 1785
Charles Pettit,Nathanael Greene,June 30 1785
James McHenry,Daniel of St. Thomas Jenifer,July 4 1785
William Samuel Johnson,Matthew Griswold,July 9 1785
James Monroe,James Madison,July 12 1785
The Delegates of Pennsylvania,the Continental Congress,July 13 1785
James Monroe,Thomas Jefferson,July 15 1785
William Churchill Houston,Samuel Dick,July 17 1785
Richard Henry Lee,John Jay,July 19 1785
Richard Henry Lee,James Duane,July 20 1785
Richard Henry Lee,George Washington,July 23 1785
The New Hampshire Delegates,John Langdon,July 24 1785
John Vining,Nicholas Vandyke,July 24 1785
William Grayson,George Washington,July 25 1785
James Monroe,James Madison,July 26 1785
The Maryland Delegates,William Paca,July 27 1785
Charles Thomson,the Several States,July 28 1785
Richard Henry Lee,John Adams,Aug. 1 1785
Charles Thomson,Certain States,Aug. 3 1785
Charles Thomson,Michael Hillegas,Aug. 5 1785
Charles Thomson,Certain States,Aug. 9 1785
Richard Dobbs Spaight,Richard Caswell,Aug. 10 1785
The South Carolina Delegates,William Moultrie,Aug. 10 1785
Richard Henry Lee,James Madison,Aug. 11 1785
Charles Pettit,John Dickinson,Aug. 12 1785
James McHenry,George Washington,Aug. 14 1785
James Monroe,James Madison,Aug. 14 1785
James Monroe,Thomas Jefferson,Aug. 15 1785
The Pennsylvania Delegates,John Dickinson,Aug. 17 1785
The Massachusetts Delegates,James Bowdoin. Aug. 18 1785
William Samuel Johnson,Matthew Griswold,Aug. 18 1785
William Samuel Johnson,William Judd,Aug. 19 1785
Abiel Foster,unknown,Aug. 20 1785
Richard Henry Lee,Charles Thomson,Aug. 21 1785
William Grayson,James Madison,Aug. 21 1785
Charles Thomson,the Several States,Aug. 22 1785
The Massachusetts Delegates,James Bowdoin,Aug. 23 1785
Elbridge Gerry and Others,Thomas Jefferson,Aug. 23 1785
David Howell,William Greene,Aug. 23 1785
Charles Thomson,the Several States,Aug. 24 1785
James Monroe,Thomas Jefferson,Aug. 25 1785
Samuel Hardy,Patrick Henry,Aug. 28 1785
Charles Thomson,Certain States,Aug. 29 1785
Rufus King,Thomas Ivers,Aug. 29 1785
Jacob Read,James Madison,Aug. 29 1785
Elbridge Gerry,Samuel Hodgdon,Sept 2 1785
The Massachusetts Delegates,James Bowdoin,Sept. 3 1785
Rufus King,John Lowell,Sept. 3 1785
Elbridge Gerry,James Bowdoin. Sept. 5 1785
Elbridge Gerry,Samuel Adams,Sept. 5 1785
William Grayson,George Washington. Sept. 5 1785
Charles Thomson,Certain States,Sept. 6 1785
Charles Thomson,James Bowdoin,Sept. 6 1785
Charles Thomson,William Greene,Sept. 6 1785
Charles Thomson,Richard Caswell,Sept. 6 1785
Charles Thomson,the Board of Treasury,Sept. 9 1785
Charles Thomson,James Bowdoin,Sept. 10 1785
Richard Henry Lee,John Jay,Sept. 11 1785
Elbridge Gerry,Thomas Jefferson,Sept. 12 1785
William Grayson,James Madison,Sept. 16 1785
Rufus King,Nathan Dane,Sept. 17 1785
Pierse Long,John Langdon,Sept. 18 1785
The Massachusetts Delegates,James Bowdoin,Sept. 20 1785
George Partridge,Samuel Holten,Sept. 20 1785
Robert R. Livingston,Baron Steuben,Sept. 20 1785
William Samuel Johnson,Samuel William Johnson,Sept. 21 1785
The Massachusetts Delegates,James Bowdoin,Sept. 28 1785
