id,Label,Source,Target,Type,Timestamp
1,John Adams,John Adams,Diary,Directed,1774-09-03 12:00:00
2,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-03 12:01:00
3,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-04 12:00:00
4,Joseph Galloway,Joseph Galloway,William Franklin,Directed,1774-09-03 12:02:00
5,John Adams,John Adams,Diary,Directed,1774-09-05 12:00:00
6,James Duane,James Duane,Notes of Proceedings,Directed,1774-09-05 12:01:00
7,Joseph Galloway,Joseph Galloway,William Franklin,Directed,1774-09-05 12:02:00
8,Samuel Ward,Samuel Ward,Diary,Directed,1775-09-05 12:03:00
9,John Adams,John Adams,Diary,Directed,1774-09-06 12:00:00
10,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-06 12:01:00
11,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-06 12:02:00
12,James Duane,James Duane,Notes of Proceedings,Directed,1774-09-06 12:03:00
13,John Adams,John Adams,Notes of Debates,Directed,1774-09-06 12:04:00
14,James Duane,James Duane,Notes of Proceedings,Directed,1774-09-07 12:00:00
15,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-07
16,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-07
17,John Adams,John Adams,Diary,Directed,1774-09-07
18,John Adams,John Adams,Mrs. Adams,Directed,1774-09-08
19,John Adams,John Adams,Diary,Directed,1774-09-08
20,John Adams,John Adams,Notes of Debates,Directed,1774-09-08
21,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-08
22,James Duane,James Duane,Address before Committee on state Rights of Colonies,Directed,1774-09-08
23,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-08
24,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-09
25,Samuel Adams,Samuel Adams,Joseph Warren,Directed,1774-09-09
26,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-09
27,Caesar Rodney,Caesar Rodney,Thomas Rodney,Directed,1774-09-09
28,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-10
29,John Adams,John Adams,Diary,Directed,1774-09-10
30,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-10
31,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-12
32,John Adams,John Adams,Diary,Directed,1774-09-12
33,Caesar Rodney,Caesar Rodney,Thomas Rodney,Directed,1774-09-12
34,John Adams,John Adams,Diary,Directed,1774-09-13
35,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-13
36,John Adams,John Adams,Diary,Directed,1774-09-14
37,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-14
38,Samuel Adams,Samuel Adams,Committee of Correspondence,Directed,1774-09-14
39,John Adams,John Adams,Mrs. Adams,Directed,1774-09-14
40,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-15
41,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-16 
42,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-16
43,John Adams,John Adams,Mrs. Adams,Directed,1774-09-16
44,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-17
45,Caesar Rodney,Caesar Rodney,Thomas Rodney,Directed,1774-09-17
46,John Adams,John Adams,Diary,Directed,1774-09-17
47,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-17
48,John Adams,John Adams,Mrs. Adams,Directed,1774-09-18
49,John Adams,John Adams,Mrs. Adams,Directed,1774-09-18
50,George Read,George Read,Mrs. Read,Directed,1774-09-18
51,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-19
52,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-19
53,Caesar Rodney,Caesar Rodney,Thomas Rodney,Directed,1774-09-19
54,Samuel Adams,Samuel Adams,Charles Chauncy,Directed,1774-09-19
55,Richard Henry Lee,Richard Henry Lee,William Lee,Directed,1774-09-20
56,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-20
57,John Adams,John Adams,Diary,Directed,1774-09-21
58,James Duane,James Duane,Propositions before Committee on Rights,Directed,1774-09-28
59,John Rutledge,John Rutledge,Resolution proposed in Committee on Rights,Directed,1774-09-28
60,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-23
61,Silas Deane,Silas Deane,Mrs. Deane,Directed,1774-09-23
62,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-24
63,Samuel Adams,Samuel Adams,Joseph Warren,Directed,1774-09-25
64,John Adams,John Adams,Mrs. Adams,Directed,1774-09-25
65,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-26
66,John Adams,John Adams,Joseph Palmer,Directed,1774-09-26
67,John Adams,John Adams,Notes of Debates,Directed,1774-09-26
68,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-28
69,John Adams,John Adams,Notes of Debates,Directed,1774-09-28
70,Joseph Galloway,Joseph Galloway,Statement,Directed,1774-09-28
71,Joseph Galloway,Joseph Galloway,Statement relative to his plan of Union,Directed,1774-09-28
72,Joseph Galloway,Joseph Galloway,Statement relative to his plan of Union,Directed,1774-09-28
73,Samuel Ward,Samuel Ward,Diary,Directed,1774-09-29
74,John Adams,John Adams,William Tudor,Directed,1774-09-29
75,John Adams,John Adams,Mrs. Adams,Directed,1774-09-29
76,James Duane,James Duane,Proposed Resolve,Directed,1774-10-03
77,Samuel Ward,Samuel Ward,Joseph Wanton,Directed,1774-10-03
78,Thomas Cushing,Thomas Cushing,Mrs. Cushing,Directed,1774-10-04
79,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-04
80,John Adams,John Adams,Diary,Directed,1774-10-04
81,John Sullivan,John Sullivan,John Langdon,Directed,1774-10-05
82,John Adams,John Adams,Notes of Debates,Directed,1774-10-06
83,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-06
84,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-07
85,John Adams,John Adams,William Tudor,Directed,1774-10-07
86,John Adams,John Adams,Mrs. Adams,Directed,1774-10-07
87,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-08
88,Joseph Galloway,Joseph Galloway,Statement to a Committee of House of Commons,Directed,1774-10-08
89,John Adams,John Adams,Mrs. Adams,Directed,1774-10-09
90,Joseph Galloway,Joseph Galloway,Statement to a Committee of House of Commons,Directed,1774-10-10
91,John Adams,John Adams,Diary,Directed,1774-10-10
92,Samuel Adams,Samuel Adams,General Gage,Directed,1774-10-10
93,Connecticut Delegates,Connecticut Delegates,Jonathan Trumbull sr.,Directed,1774-10-10
94,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-11
95,John Adams,John Adams,Diary,Directed,1774-10-11
96,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-12
97,James Duane,James Duane,Notes of Debates,Directed,1774-10-12
98,James Duane,James Duane,Notes of Debates,Directed,1774-10-13
99,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-13
100,John Adams,John Adams,Diary,Directed,1774-10-13
101,James Duane,James Duane,Notes of Debates,Directed,1774-10-14
102,Joseph Galloway,Joseph Galloway,Statement to a Committee of House of Commons,Directed,1774-10-14
103,John Adams,John Adams,Diary,Directed,1774-10-16
104,George Read,George Read,Mrs. Read,Directed,1774-10-16
105,James Duane,James Duane,Notes of Debates,Directed,1774-10-17
106,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-18  
107,John Adams,John Adams,Diary,Directed,1774-10-20
108,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-21
109,Joseph Galloway,Joseph Galloway,Statement to a Committee of House of Commons,Directed,1774-10-24
110,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-22
111,Silas Deane,Silas Deane,Jonathan Trumbull sr.,Directed,1774-10-22
112,John Adams,John Adams,Diary,Directed,1774-10-24
113,George Read,George Read,Mrs. Read,Directed,1774-10-24
114,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-25
115,John Adams,John Adams,Diary,Directed,1774-10-25
116,Samuel Ward,Samuel Ward,Diary,Directed,1774-10-26
117,John Dickinson,John Dickinson,Arthur Lee,Directed,1774-10-27
118,Joseph Hewes,Joseph Hewes,James Iredell,Directed,1774-10-31
119,Edward Rutledge,Edward Rutledge,Thomas Bee,Directed,1774-10-31
120, New York Delegates, New York Delegates, Chairman and Freeholders of Dutchess County,Directed,1774-11-07
121,South Carolina Delegates,South Carolina Delegates,Report to Provincial Congress,Directed,1774-11-07
122,John Adams,John Adams,Edward Biddle,Directed,1774-12-12
123,James Duane,James Duane,Samuel Chase,Directed,1774-12-29
124,Richard Henry Lee,Richard Henry Lee,William Lee,Directed,1775-05-10
125,Caesar Rodney,Caesar Rodney,Thomas Rodney,Directed,1775-05-11
126,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-05-12
127,Samuel Ward,Samuel Ward,Diary,Directed,1775-05-15
128,New York Delegates,New York Delegates, New York Committee of Safety,Directed,1775-05-16
129,New York Delegates,New York Delegates, Committee for City and County of Albany,Directed,1775-05-18
130,George Read,George Read,Mrs. Read,Directed,1775-05-18
131,Eliphalet Dyer,Eliphalet Dyer,Joseph Trumbull,Directed,1775-05-18
132,Silas Deane,Silas Deane,Jonathan Trumbull sr.,Directed,1775-05-19
133,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-05-21
134,John Adams,John Adams,James Warren,Directed,1775-05-21
135,James Wilson,James Wilson,John Montgomery,Directed,1775-05-22
136,New Hampshire Delegates,New Hampshire Delegates, New Hampshire Provincial Committee,Directed,1775-05-22
137,William Hooper,William Hooper,Samuel Johnston,Directed,1775-05-23
138,Joseph Hewes,Joseph Hewes,Samuel Johnston,Directed,1775-05-23
139,George Read,George Read,Mrs. Read,Directed,1775-05-23
140,Samuel Ward,Samuel Ward,Diary,Directed,1775-05-24
141,James Duane,James Duane,Notes on State of Colonies,Directed,1775-05-25
142,New Hampshire Delegates,New Hampshire Delegates,a Committee of Congress,Directed,1775-05-27
143,John Adams,John Adams,Mrs. Adams,Directed,1775-05-29
144,Edmund Pendleton,Edmund Pendleton,William Woodford,Directed,1775-05-30
145,New York Delegates,New York Delegates, Provincial Congress,Directed,1775-05-30
146,George Ross,George Ross, Lancaster Committee of Correspondence,Directed,1775-05-30
147,Connecticut Delegates,Connecticut Delegates,William Williams,Directed,1775-05-31
148,Benjamin Franklin,Benjamin Franklin,Proposed Resolutions,Directed,1775-05-10
149,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-06-02
150,John Adams,John Adams,Mrs. Adams,Directed,1775-06-02
151,Samuel Ward,Samuel Ward,Diary,Directed,1775-06-03
152,Eliphalet Dyer,Eliphalet Dyer,Joseph Trumbull,Directed,1775-06-03
153,New York Delegates,New York Delegates, Provincial Congress,Directed,1775-06-03
154,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-06-03
155,Joseph Hewes,Joseph Hewes,Samuel Johnston,Directed,1775-06-05
156,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-06-06
157,John Adams,John Adams,James Warren,Directed,1775-06-07
158,John Morton,John Morton,Thomas Powell,Directed,1775-06-08
159,Eliphalet Dyer,Eliphalet Dyer,Joseph Trumbull,Directed,1775-06-08
160,John Hancock,John Hancock, Massachusetts Provincial Congress,Directed,1775-06-10
161,John Adams,John Adams,Mrs. Adams,Directed,1775-06-10
162,John Adams,John Adams,Moses Gill,Directed,1775-06-10
163,Thomas Cushing,Thomas Cushing,Joseph Hawley,Directed,1775-06-10
164,Thomas Cushing,Thomas Cushing,Elbridge Gerry,Directed,1775-06-10
165,John Hancock,John Hancock, New York Provincial Congress,Directed,1775-06-10
166,John Hancock,John Hancock,Jonathan Trumbull sr.,Directed,1775-06-10
167,John Hancock,John Hancock, Massachusetts Provincial Congress,Directed,1775-06-10
168,Samuel Adams,Samuel Adams,James Warren,Directed,1775-06-10
169,New York Delegates,New York Delegates, Provincial Congress,Directed,1775-06-10
170,George Clinton,George Clinton,John McKesson,Directed,1775-06-10
171,Connecticut Delegates,Connecticut Delegates,Jonathan Trumbull sr.,Directed,1775-06-12
172,Samuel Ward,Samuel Ward,Diary,Directed,1775-06-12
173,One of Virginia Delegates,One of Virginia Delegates,unknown,Directed,1775-06-13
174,One of Virginia Delegates,One of Virginia Delegates,unknown,Directed,1775-06-14
175,George Clinton,George Clinton,John McKesson,Directed,1775-06-15
176,Pennsylvania Delegates,Pennsylvania Delegates, Committee of Correspondence of Cumberland County,Directed,1775-06-15
177,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-06-16
178,Eliphalet Dyer,Eliphalet Dyer,Jonathan Trumbull sr.,Directed,1775-06-18
179,Eliphalet Dyer,Eliphalet Dyer,Joseph Trumbull,Directed,1775-06-17
180,James Duane,James Duane, New York Provincial Congress,Directed,1775-06-17
181,John Adams,John Adams,Mrs. Adams,Directed,1775-06-17
182,John Adams,John Adams,Mrs. Adams,Directed,1775-06-18
183,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-06-18
184,Silas Deane,Silas Deane,Joseph Trumbull,Directed,1775-06-18
185,John Hancock,John Hancock,Joseph Warren,Directed,1775-06-18
186,John Hancock,John Hancock,Elbridge Gerry,Directed,1775-06-18
187,John Adams,John Adams,Elbridge Gerry,Directed,1775-06-18
188,John Adams,John Adams,James Warren,Directed,1775-06-20
189,Eliphalet Dyer,Eliphalet Dyer,Joseph Trumbull,Directed,1775-06-20
190,Eliphalet Dyer,Eliphalet Dyer,Jonathan Trumbull sr.,Directed,1775-06-20
191,George Washington,George Washington,John 08ustine Washington,Directed,1775-06-20
192,New Hampshire Delegates,New Hampshire Delegates,Matw Thornton,Directed,1775-06-20
193,193- John Adams,193- John Adams,Joseph Palmer,Directed,1775-06-20
194,Caesar Rodney,Caesar Rodney,Thomas Rodney,Directed,1775-06-20
195,John Adams,John Adams,Joseph Warren,Directed,1775-06-21
196,John Hancock,John Hancock,Artemas Ward,Directed,1775-06-22
197,John Adams,John Adams,Mrs. Adams,Directed,1775-06-23
198,Roger Sherman,Roger Sherman,David Wooster,Directed,1775-06-23
199,John Hancock,John Hancock, New York Provincial Congress,Directed,1775-06-24
200,Connecticut Delegates,Connecticut Delegates,Jonathan Trumbull sr.,Directed,1775-06-26
201,John Adams,John Adams,James Warren,Directed,1775-06-27
202,John Hancock,John Hancock, New York Provincial Congress,Directed,1775-06-27
203,John Hancock,John Hancock,George Washington,Directed,1775-06-28
204,Richard Henry Lee,Richard Henry Lee,George Washington,Directed,1775-06-29
205,New York Delegates,New York Delegates, Provincial Congress,Directed,1775-06-30
206,One of Virginia Delegates,One of Virginia Delegates,unknown,Directed,1775-06-30
207,South Carolina Delegates,South Carolina Delegates, Secret Committee at Charleston,Directed,1775-07-01
208,John Hancock,John Hancock,Philip Schuyler,Directed,1775-07-01
209,John Langdon,John Langdon,Matw Thornton,Directed,1775-07-03
210,Committee of Philadelphia,Committee of Philadelphia, New York Provincial Congress,Directed,1775-07-04
211,One of Virginia Delegates,One of Virginia Delegates,unknown,Directed,1775-07-05
212,John Adams,John Adams,James Warren,Directed,1775-07-06
213,John Adams,John Adams,James Warren,Directed,1775-07-06
214,Silas Deane,Silas Deane,Titus Hosmer,Directed,1775-07-06
215,Roger Sherman,Roger Sherman,Joseph Trumbull,Directed,1775-07-06
216,New York Delegates,New York Delegates, Provincial Congress,Directed,1775-07-06
217,Benjamin Franklin,Benjamin Franklin,Joseph Priestley,Directed,1775-07-07
218,John Dickinson,John Dickinson,Arthur Lee,Directed,1775-07-07
219,Joseph Hewes,Joseph Hewes,James Iredell,Directed,1775-07-08
220,Joseph Hewes,Joseph Hewes,Samuel Johnston,Directed,1775-07-08
221,Samuel Chase,Samuel Chase,Philip Schuyler,Directed,1775-07-10
222,John Hancock,John Hancock,George Washington,Directed,1775-07-10
223,John Adams,John Adams,James Warren,Directed,1775-07-10
224,John Adams,John Adams,James Warren,Directed,1775-07-11
225,Pennsylvania Delegates,Pennsylvania Delegates, Lancaster County Committee,Directed,1775-07-11
226,Continental Congress,Continental Congress,Minute,Directed,1775-07-13
227,George Read,George Read,Mrs. Read,Directed,1775-07-13
228,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-07-15
229,Maryland Delegates,Maryland Delegates, Committee of Baltimore,Directed,1775-07-18
230,New York Delegates,New York Delegates, Committee of Safety,Directed,1775-07-18
231,Eliphalet Dyer,Eliphalet Dyer,Joseph Trumbull,Directed,1775-07-18
232,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-07-20
233,Silas Deane,Silas Deane,Joseph Trumbull,Directed,1775-07-21
234,Eliphalet Dyer,Eliphalet Dyer,Joseph Trumbull,Directed,1775-07-21
235,Silas Deane,Silas Deane,Gurdon Saltonstall,Directed,1775-07-21
236,Benjamin Harrison,Benjamin Harrison,George Washington,Directed,1775-07-21
237,James Duane,James Duane,Robert Montgomery,Directed,1775-07-21
238,Thomas Johnson,Thomas Johnson,Note on Franklin's Articles of Confederation,Directed,1775-07-21
239,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-07-23
240,Eliphalet Dyer,Eliphalet Dyer,William Judd,Directed,1775-07-23
241,John Adams,John Adams,James Warren,Directed,1775-07-23
242,John Adams,John Adams,Mrs. Adams,Directed,1775-07-23
243,Thomas Cushing,Thomas Cushing,Joseph Hawley,Directed,1775-07-24
244,John Adams,John Adams,James Warren,Directed,1775-07-24
245,Samuel Adams,Samuel Adams,James Warren,Directed,1775-07-24
246,John Adams,John Adams,James Warren,Directed,1775-07-26
247,John Adams,John Adams,James Warren,Directed,1775-07-27
248,Roger Sherman,Roger Sherman,William Williams,Directed,1775-07-28
249,Connecticut Delegates,Connecticut Delegates,Jonathan Trumbull sr.,Directed,1775-07-28
250,Eliphalet Dyer,Eliphalet Dyer,Joseph Trumbull,Directed,1775-07-28
251,New York Delegates,New York Delegates, Committee of Safety,Directed,1775-07-28
252,John Adams,John Adams,Josiah Quincy,Directed,1775-07-29
253,John Adams,John Adams,Mrs. Adams,Directed,1775-07-30
254,John Adams,John Adams,James Warren,Directed,1775-07-30
255,Samuel Adams,Samuel Adams,Mrs. Adams,Directed,1775-07-30
256,Benjamin Franklin,Benjamin Franklin,Proposed Resolution,Directed,1775-07-18
257,Richard Henry Lee,Richard Henry Lee,George Washington,Directed,1775-08-01
258,Connecticut Delegates,Connecticut Delegates,Zebulon Butler and Ors,Directed,1775-08-02
259,Francis Lewis,Francis Lewis,Philip Schuyler,Directed,1775-08-02
260,James Duane,James Duane,Philip Schuyler,Directed,1775-08-04
261,James Duane,James Duane,Jonathan Trumbull jr.,Directed,1775-08-04
262,James Duane,James Duane,Oliver Wolcott,Directed,1775-08-07
263,Samuel Chase,Samuel Chase,Philip Schuyler,Directed,1775-08-10
264,John Hancock,John Hancock,Joseph Reed,Directed,1775-08-15
265,Thomas Johnson jr.,Thomas Johnson jr.,Horatio Gates,Directed,1775-08-18
266,Member of Congress,Member of Congress,a Gentleman in London,Directed,1775-08-26
267,Silas Deane,Silas Deane,Jonathan Trumbull jr.,Directed,1775-09-10
268,Samuel Ward,Samuel Ward,Diary,Directed,1775-09-11
269,Richard Smith,Richard Smith,Diary,Directed,1775-09-12
270,Samuel Ward,Samuel Ward,Diary,Directed,1775-09-12
271,Richard Smith,Richard Smith,Diary,Directed,1775-09-13
272,Samuel Ward,Samuel Ward,Diary,Directed,1775-09-13
273,Richard Smith,Richard Smith,Diary,Directed,1775-09-14
274,Samuel Ward,Samuel Ward,Diary,Directed,1775-09-14
275,John Adams,John Adams,Diary,Directed,1775-09-15
276,Richard Smith,Richard Smith,Diary,Directed,1775-09-15
277,Samuel Ward,Samuel Ward,Diary,Directed,1775-09-15
278,Eliphalet Dyer,Eliphalet Dyer,Joseph Trumbull,Directed,1775-09-15
279,George Ross,George Ross,James Wilson,Directed,1775-09-15
280,John Adams,John Adams,Diary,Directed,1775-09-16
281,Richard Smith,Richard Smith,Diary,Directed,1775-09-16
282,Samuel Ward,Samuel Ward,Diary,Directed,1775-09-16
283,Silas Deane,Silas Deane,Joseph Trumbull,Directed,1775-09-17
284,Richard Smith,Richard Smith,Diary,Directed,1775-09-18
285,Samuel Ward,Samuel Ward,Diary,Directed,1775-09-18
286,John Adams,John Adams,Diary,Directed,1775-09-18
287,Richard Smith,Richard Smith,Diary,Directed,1775-09-19
288,John Adams,John Adams,James Warren,Directed,1775-09-19
289,Richard Smith,Richard Smith,Diary,Directed,1775-09-20
290,New York Delegates,New York Delegates, Committee of Safety,Directed,1775-09-20
291,John Hancock,John Hancock,David Wooster,Directed,1775-09-20
292,John Hancock,John Hancock,Philip Schuyler,Directed,1775-09-20
293,New Hampshire Delegates,New Hampshire Delegates, Committee of Safety,Directed,1775-09-20
294,Richard Smith,Richard Smith,Diary,Directed,1775-09-21
295,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-09-22
296,John Adams,John Adams,Diary,Directed,1775-09-22
297,Samuel Ward,Samuel Ward,Diary,Directed,1775-09-23
298,Richard Smith,Richard Smith,Diary,Directed,1775-09-25
299,Samuel Ward,Samuel Ward,Diary,Directed,1775-09-25
300,Eliphalet Dyer,Eliphalet Dyer,Joseph Trumbull,Directed,1775-09-25
301,Richard Smith,Richard Smith,Diary,Directed,1775-09-26
302,Samuel Adams,Samuel Adams,Elbridge Gerry,Directed,1775-09-26
303,John Hancock,John Hancock,George Washington,Directed,1775-09-26
304,Richard Smith,Richard Smith,Diary,Directed,1775-09-28
305,Richard Smith,Richard Smith,Diary,Directed,1775-09-28
306,John Adams,John Adams,Diary,Directed,1775-09-28
307,Richard Smith,Richard Smith,Diary,Directed,1775-09-29
308,Richard Smith,Richard Smith,Diary,Directed,1775-09-30
309,John Hancock,John Hancock,George Washington,Directed,1775-09-30
310,Eliphalet Dyer,Eliphalet Dyer,Joseph Trumbull,Directed,1775-10-02
311,New Hampshire Delegates,New Hampshire Delegates,Matw Thornton,Directed,1775-10-02
312,John Adams,John Adams,James Warren,Directed,1775-10-02
313,Samuel Adams,Samuel Adams,James Warren,Directed,1775-10-03
314,Samuel Ward,Samuel Ward,Diary,Directed,1775-10-04
315,James Duane,James Duane,Notes of Debates,Directed,1775-10-05
316,Samuel Ward,Samuel Ward,Diary,Directed,1775-10-05
317,John Adams,John Adams,William Heath,Directed,1775-10-05
318,John Adams,John Adams,James Warren,Directed,1775-10-07
319,Samuel Ward,Samuel Ward,Diary,Directed,1775-10-09
320,New York Delegates,New York Delegates, New York Convention,Directed,1775-10-09
321,John Hancock,John Hancock, New York Convention,Directed,1775-10-09
322,John Hancock,John Hancock,Philip Schuyler,Directed,1775-10-09
323,New Jersey Delegates,New Jersey Delegates,Samuel Tucker,Directed,1775-10-09
324,John Hancock,John Hancock,David Wooster,Directed,1775-10-09
325,John Adams,John Adams,Mrs. Adams,Directed,1775-10-10
326,Samuel Ward,Samuel Ward,Diary,Directed,1775-10-11
327,Samuel Ward,Samuel Ward,Henry Ward,Directed,1775-10-11
328,John Hancock,John Hancock,Philip Schuyler,Directed,1775-10-11
329,Silas Deane,Silas Deane,Thomas Mumford,Directed,1775-10-15
330,Samuel Ward,Samuel Ward,Diary,Directed,1775-10-16
331,Connecticut Delegates,Connecticut Delegates,Proposed Resolution,Directed,1775-10-23
332,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-10-17
333,Samuel Ward,Samuel Ward,Diary,Directed,1775-10-18
334,John Adams,John Adams,James Warren,Directed,1775-10-18
335,335- John Adams,335- John Adams,James Warren,Directed,1775-10-19
336,John Adams,John Adams,James Warren,Directed,1775-10-19
337,John Adams,John Adams,James Warren,Directed,1775-10-19
338,John Adams,John Adams,Joseph Palmer,Directed,1775-10-19
339,John Adams,John Adams,Mrs. Adams,Directed,1775-10-19
340,Samuel Ward,Samuel Ward,Diary,Directed,1775-10-20
341,Samuel Adams,Samuel Adams,William Heath,Directed,1775-10-20
342,John Adams,John Adams,James Warren,Directed,1775-10-20
343,Samuel Ward,Samuel Ward,Henry Ward,Directed,1775-10-24
344,John Hancock,John Hancock, New Jersey Provincial Convention,Directed,1775-10-25
345,New Hampshire Delegates,New Hampshire Delegates, Committee of Safety,Directed,1775-10-26
346,Francis Lewis,Francis Lewis,Jabez Huntington,Directed,1775-10-27
347,John Hancock,John Hancock, President of New York Congress,Directed,1775-10-28
348,John Adams,John Adams,James Warren,Directed,1775-10-28
349,Samuel Adams,Samuel Adams,Elbridge Gerry,Directed,1775-10-29
350,Samuel Ward,Samuel Ward,Diary,Directed,1775-10-31
351,Samuel Ward,Samuel Ward,Diary,Directed,1775-11-02
352,New Hampshire Delegates,New Hampshire Delegates,Matw Thornton,Directed,1775-11-03
353,Samuel Adams,Samuel Adams,James Warren,Directed,1775-11-04
354,John Adams,John Adams,Elbridge Gerry,Directed,1775-11-05
355,William Livingston,William Livingston,Lord Stirling,Directed,1775-11-08
356,New York Delegates,New York Delegates, Provincial Congress,Directed,1775-11-09
357,Joseph Hewes,Joseph Hewes,Samuel Johnston,Directed,1775-11-09
358,Samuel Ward,Samuel Ward,Henry Ward,Directed,1775-11-01
359,John Adams,John Adams,Henry Knox,Directed,1775-11-11
360,Thomas Lynch,Thomas Lynch,George Washington,Directed,1775-11-13
361,Richard Henry Lee,Richard Henry Lee,George Washington,Directed,1775-11-13
362,Josiah Bartlett,Josiah Bartlett, New Hampshire Committee of Safety,Directed,1775-11-13
363,John Adams,John Adams,Samuel Osgood,Directed,1775-11-15
364,Samuel Ward,Samuel Ward,Henry Ward,Directed,1775-11-16
365,Samuel Ward,Samuel Ward,Henry Ward,Directed,1775-11-21
366,Samuel Adams,Samuel Adams,James Otis,Directed,1775-11-23
367,John Adams,John Adams,James Otis,Directed,1775-11-23
368,John Hancock,John Hancock, Massachusetts Council,Directed,1775-11-25
369,Thomas Cushing,Thomas Cushing, Massachusetts Council,Directed,1775-11-25
370,John Adams,John Adams,Joseph Hawley,Directed,1775-11-25
371,John Adams,John Adams,Mercy Warren,Directed,1775-11-25
372,Joseph Hewes,Joseph Hewes,Samuel Johnston,Directed,1775-11-26
373,James Duane,James Duane, New York Convention,Directed,1775-11-28
374,John Hancock,John Hancock, Massachusetts Council,Directed,1775-11-26
375,Thomas Cushing,Thomas Cushing, Massachusetts Council,Directed,1775-11-26
376,John Hancock,John Hancock,Philip Schuyler,Directed,1775-11-30
377,John Hancock,John Hancock,Richard Montgomery,Directed,1775-11-30
378,John Hancock,John Hancock,David Wooster,Directed,1775-11-30
379,Committee of Secret Correspondence,Committee of Secret Correspondence,Arthur Lee,Directed,1775-11-30
380,Joseph Hewes,Joseph Hewes,Samuel Johnston,Directed,1775-12-01
381,John Hancock,John Hancock,George Washington,Directed,1775-12-02
382,John Hancock,John Hancock,Jonathan Trumbull sr.,Directed,1775-12-02
383,Samuel Ward,Samuel Ward,Henry Ward,Directed,1775-12-03
384,John Adams,John Adams,Mrs. Adams,Directed,1775-12-03
385,John Adams,John Adams,James Warren,Directed,1775-12-03
386,Samuel Adams,Samuel Adams,James Warren,Directed,1775-12-05
387,John Hancock,John Hancock,George Washington,Directed,1775-12-08
388,Robert Morris,Robert Morris,unknown,Directed,1775-12-09
389,William Livingston,William Livingston,Lord Stirling,Directed,1775-12-09
390,John Adams,John Adams,Diary,Directed,1775-12-09
391,Thomas Jefferson,Thomas Jefferson,John Page,Directed,1775-12-10
392,Francis Lightfoot Lee,Francis Lightfoot Lee,Landon Carter,Directed,1775-12-12
393,Committee of Secret Correspondence,Committee of Secret Correspondence,Arthur Lee,Directed,1775-12-12
394,Richard Smith,Richard Smith,Diary,Directed,1775-12-13
395,Richard Smith,Richard Smith,Diary,Directed,1775-12-14
396,Richard Smith,Richard Smith,Diary,Directed,1775-12-15
397,Silas Deane,Silas Deane,Mrs. Deane,Directed,1775-12-15
398,George Read,George Read,Airs. Read,Directed,1775-12-15
399,Richard Smith,Richard Smith,Diary,Directed,1775-12-16
