id,Label,Source,Target,Type,Timestamp
4831, Virginia Delegates, Virginia Delegates,Beverley Randolph,Directed,1787-07-22
4832,Richard Henry Lee,Richard Henry Lee,Thomas Lee Shippen,Directed,1787-07-22
4833,Charles Thomson,Charles Thomson,Beverley Randolph,Directed,1787-07-23
4834,Charles Thomson,Charles Thomson,Charles Pinckney,Directed,1787-07-23
4835,Edward Carrington,Edward Carrington,James Madison,Directed,1787-07-25
4836,William Pierce,William Pierce,William Short,Directed,1787-07-25
4837,Richard Henry Lee,Richard Henry Lee,William Lee,Directed,1787-07-30
4838,Pierce Butler,Pierce Butler,Weedon Butler,Directed,1787-08-01
4839,Charles Thomson,Charles Thomson,Samuel Huntington,Directed,1787-08-06
4840,Edward Carrington,Edward Carrington,James Monroe,Directed,1787-08-07
4841,William Grayson,William Grayson,James Monroe,Directed,1787-08-08
4842,Arthur St. Clair,Arthur St. Clair,Horatio Gates,Directed,1787-08-09
4843,Arthur St. Clair,Arthur St. Clair,Jeremiah Wadsworth,Directed,1787-08-09
4844,Charles Thomson,Charles Thomson, Several States,Directed,1787-08-10
4845,Edward Carrington,Edward Carrington,James Madison,Directed,1787-08-11
4846,Nathan Dane,Nathan Dane,Rufus King,Directed,1787-08-12
4847,Arthur St. Clair,Arthur St. Clair,Certain States,Directed,1787-08-13
4848,Benjamin Hawkins,Benjamin Hawkins,Richard Caswell,Directed,1787-08-14
4849,John Baptiste Ashe,John Baptiste Ashe,Richard Caswell,Directed,1787-08-16
4850,William Blount,William Blount,Richard Caswell,Directed,1787-08-20
4851,Richard Henry Lee,Richard Henry Lee,Richard Lee ,Directed,1787-08-22
4852,Abraham Yates jr.,Abraham Yates jr.,Jeremiah van Rensselaer,Directed,1787-08-29
4853,Abraham Yates jr.,Abraham Yates jr.,Henry Acthandt,Directed,1787-08-29
4854,William Grayson,William Grayson,James Madison,Directed,1787-08-31
4855,Richard Henry Lee,Richard Henry Lee,John Adams,Directed,1787-09-05
4856,William Harrison,William Harrison,William Smallwood,Directed,1787-09-07
4857,Richard Henry Lee,Richard Henry Lee,Richard Lee,Directed,1787-09-13
4858,Jonathan Sturges,Jonathan Sturges,Samuel Huntington,Directed,1787-09-17
4859,Benjamin Hawkins,Benjamin Hawkins,Richard Caswell,Directed,1787-09-17
4860,Stephen Mix Mitchell,Stephen Mix Mitchell,William Samuel Johnson,Directed,1787-09-18
4861,Roger Alden,Roger Alden,Statement,Directed,1787-09-21
4862,William Bingham,William Bingham,Thomas FitzSimons,Directed,1787-09-21
4863,Edward Carrington,Edward Carrington,James Madison,Directed,1787-09-23
4864,Charles Thomson,Charles Thomson,Walter Livingston,Directed,1787-09-26
4865,Richard Henry Lee,Richard Henry Lee,Proposed Amendments to Constitution,Directed,1787-09-27
4866,Charles Thomson,Charles Thomson, Several States,Directed,1787-09-28
4867,James Madison,James Madison,George Washington,Directed,1787-09-30
4868,Richard Henry Lee,Richard Henry Lee,George Mason,Directed,1787-10-01
4869,Richard Henry Lee,Richard Henry Lee,William Shippen jr.,Directed,1787-10-02
4870,Richard Henry Lee,Richard Henry Lee,Samuel Adams,Directed,1787-10-05
4871,Nathaniel Ramsey,Nathaniel Ramsey,William Smallwood,Directed,1787-10-06
4872,James Madison,James Madison,Edmund Randolph,Directed,1787-10-07
4873,Lambert Cadwalader,Lambert Cadwalader,George Mitchell,Directed,1787-10-08
4874,Richard Henry Lee,Richard Henry Lee,George Washington,Directed,1787-10-11
4875,James Madison,James Madison,George Washington,Directed,1787-10-14
4876,Richard Henry Lee,Richard Henry Lee,Edmund Randolph,Directed,1787-10-16
4877,Charles Thomson,Charles Thomson, Several States,Directed,1787-10-18
4878,William Grayson,William Grayson,James Monroe,Directed,1787-10-22
4879,Edward Carrington,Edward Carrington,Thomas Jefferson,Directed,1787-10-23
4880,James Madison,James Madison,Thomas Jefferson,Directed,1787-10-24
4881,James Madison,James Madison,William Short,Directed,1787-10-24
4882,Charles Thomson,Charles Thomson, Governor of North Carolina,Directed,1787-10-25
4883,Charles Thomson,Charles Thomson, Governor of Georgia,Directed,1787-10-25
4884,Edward Carrington,Edward Carrington,William Short,Directed,1787-10-25
4885,James White,James White,William Blount,Directed,1787-10-25
4886,Charles Thomson,Charles Thomson,George Washington,Directed,1787-10-27
4887,Charles Thomson,Charles Thomson, Governor of North Carolina,Directed,1787-10-27
4888,Charles Thomson,Charles Thomson, Governor of South Carolina,Directed,1787-10-27
4889,Charles Thomson,Charles Thomson, Governor of Georgia,Directed,1787-10-27
4890,Rufus King,Rufus King,John Adams,Directed,1787-10-27
4891,Richard Henry Lee,Richard Henry Lee,Samuel Adams,Directed,1787-10-27
4892,Nicholas Gilman,Nicholas Gilman,John Sullivan,Directed,1787-10-31
4893, Virginia Delegates, Virginia Delegates,Edmund Randolph,Directed,1787-11-03
4894,Nicholas Gilman,Nicholas Gilman,John Sullivan,Directed,1787-11-07
4895,Edward Carrington,Edward Carrington,Thomas Jefferson,Directed,1787-11-10
4896,William Grayson,William Grayson,William Short,Directed,1787-11-10
4897,Edward Carrington,Edward Carrington,William Short,Directed,1787-11-11
4898,James White,James White,Richard Caswell,Directed,1787-11-13
4899,James White,James White,James Hogg,Directed,1787-11-17
4900,James Madison,James Madison,George Washington,Directed,1787-11-18
4901,Nicholas Gilman,Nicholas Gilman,William Irvine,Directed,1787-11-20
4902,Samuel Alleyne Otis,Samuel Alleyne Otis,James Warren,Directed,1787-11-27
4903,Charles Thomson,Charles Thomson, Several States,Directed,1787-11-28
4904,William Samuel Johnson,William Samuel Johnson,Samuel William Johnson,Directed,1787-11-29
4905,Dyre Kearny,Dyre Kearny,Charles Thomson,Directed,1787-12-01
