Thomas Rodney,Diary,Mar. 1 1781
Samuel Huntington,the Several States,Mar. 2 1781
Thomas Rodney,Caesar Rodney,Mar. 2 1781
Thomas Rodney,Diary,Mar. 2-3 3 1781
Richard Howly,Horatio Gates,Mar. 3 1781
Samuel Huntington,Thomas Jefferson,Mar. 4 1781
Samuel Huntington,Thomas Sim Lee,Mar. 4 1781
James Lovell,Elbridge Gerry,Mar. 5 .S 1781
Theodorick Bland,Richard Henry Lee,Mar. 5 1781
Thomas Rodney,Diary,Mar. 5-6 1781
Samuel Huntington,Thomas Jefferson,Mar. 6 1781
Samuel Huntington,Nathanael Greene,Mar. 6 1781
John Sullivan,George Washington,Mar. 6 1781
The Virginia Delegates,Thomas Jefferson,Mar. 6 1781
John Sullivan,Meshech Weare,Mar. 6 1781
James Duane,Mrs. Duane,Mar. 6 1781
John Mathews,George Washington,Mar. 6 1781
John Mathews,William Livingston,Mar. 6 1781
Thomas Rodney,Diary,Mar. 7-8 1781
John Sullivan,George Washington,Mar. 9 1781
James Lovell,Benjamin Franklin,Mar. 9 1781
Thomas Rodney,Diary,Mar. 10 1781
The New York Delegates,George Clinton. Mar. 11 1781
Alexander McDougall,George Clinton,Mar. 12 1781
Richard Howly,Thomas Sim Lee,Mar. 13 1781
Thomas Rodney,Caesar Rodney,Mar. 13 1781
James Lovell,Elbridge Gerry,Mar. 16 1781
James Mitchell Varnum,William Greene,Mar. 16 1781
Jesse Root,Jonathan Trumbull,Mar. 16 1781
James Lovell,Elbridge Gerry,Mar. 20 1781
William Floyd,George Clinton,Mar. 20 1781
James Duane,Mrs. Duane,Mar. 20 1781
Daniel Carroll,Thomas Sim Lee,Mar. 20 1781
William Churchill Houston,William Livingston,Mar. 22 1781
Samuel Huntington,the Several States,Mar. 23 1781
James Lovell,Samuel Holten,Mar. 23 1781
Samuel Huntington,Jonathan Trumbull,Mar. 24 1781
Oliver Wolcott,Jonathan Trumbull,Mar. 24 1781
Oliver Wolcott,Oliver Ellsworth,Mar. 24 (? 1781
Jesse Root,Jonathan Trumbull,Mar. 24 1781
Samuel Huntinpton,George Washington,Mar. 26 1781
James Lovell,Samuel Holten,Mar. 27 1781
James Lovell,Elbridge Gerry,Mar. 27 1781
The Virginia Delegates,Thomas Jefferson. Mar. 27 1781
Thomas Bee,John Laurens,Mar. 28 1781
William Churchill Houston,Thomas McKean,Mar. 31  1781
John Hanson,Thomas Sim Lee,Apr. 2 1781
James Mitchell Varnum,William Greene,Apr. 2 1781
Samuel Johnston,James Iredell,Apr. 2 1781
James Madison,Thomas JeflFerson,Apr. 3 1781
Samuel Adams,Caleb Davis,Apr. 3 1781
Oliver Wolcott,Samuel Lyman,Apr. 3 1781
James Duane,Draft of Manifesto respecting Henry Laurens,Apr. 4 1781
