id,source,target,label
275,William Bailey Smith,George Rogers Clark,George Rogers Clark
276,George Rogers Clark,Edward Hand,Edward Hand
277,George Rogers Clark,William Harrod,William Harrod
278,George Rogers Clark,Edward Hand,Edward Hand
279,Edward Hand,George Rogers Clark,George Rogers Clark
280,John Campbell,George Rogers Clark,George Rogers Clark
281,Edward Abbott,Guy Carleton,Guy Carleton
282,"Gabriel Cerre """,George Rogers Clark,George Rogers Clark
283,George Rogers Clark,Inhabitants of Vincennes,Inhabitants of Vincennes
284,George Rogers Clark,Jean B. Laffont,Jean B. Laffont
285,George Rogers Clark,Oliver Pollock,Oliver Pollock
286,H. Perrault,George Rogers Clark,George Rogers Clark
287,Joseph Cesirre,George Rogers Clark,George Rogers Clark
288,George Rogers Clark,Certain Traders,Certain Traders
289,Joseph Bowman,John Hite,John Hite
290,Joseph Bowman,George Brinker,George Brinker
291,George Rogers Clark,Chief of the Winnebago,Chief of the Winnebago
292,James Willing,George Rogers Clark,George Rogers Clark
293,George Rogers Clark,Fox Indians,Fox Indians
294,James Willing,George Rogers Clark,George Rogers Clark
295,George Rogers Clark,Patrick Henry,Patrick Henry
296,John Bowman,George Rogers Clark,George Rogers Clark
297,Joseph Bowman,George Rogers Clark,George Rogers Clark
298,Patrick Henry,Virginia Delegates in Congress,Virginia Delegates in Congress
299,Benjamin Harrison,George Rogers Clark,George Rogers Clark
300,Patrick Henry,George Rogers Clark,George Rogers Clark
301,Patrick Henry,George Rogers Clark,George Rogers Clark
302,Executive Council of Virginia,George Rogers Clark,George Rogers Clark
303,Executive Council of Virginia,John Montgomery,John Montgomery
304,Patrick Henry,John Todd,John Todd
305,Patrick Henry,George Rogers Clark,George Rogers Clark
306,Patrick Henry,George Rogers Clark,George Rogers Clark
307,Leonard Helm,George Rogers Clark,George Rogers Clark
308,Henry Hamilton,People of Illinois,People of Illinois
309,George Rogers Clark,Patrick Henry,Patrick Henry
310,David Lyster,George Moorehead,George Moorehead
311,Alexander Macomb,Jehu Hay,Jehu Hay
312,Alexander Macomb,Henry Hamilton,Henry Hamilton
313,R. B. Lernoult,Henry Hamilton,Henry Hamilton
314,George Rogers Clark,John Rogers,John Rogers
315,George Rogers Clark,George Mason,George Mason
316,George Rogers Clark,Patrick Henry,Patrick Henry
317,George Rogers Clark,Benjamin Harrison,Benjamin Harrison
318,George Rogers Clark,William Myers,William Myers
319,George Rogers Clark,R. B. Lernoult,R. B. Lernoult
320,George Rogers Clark,Leonard Helm,Leonard Helm
321,R. B. Lernoult,Mason Bolton,Mason Bolton
322,James Patten,George Rogers Clark,George Rogers Clark
323,Robert George,George Rogers Clark,George Rogers Clark
324,Joseph Bowman,Chiefs of  Potawatomi,Chiefs of  Potawatomi
325,George Rogers Clark,Nanaloibi,Nanaloibi
326,John Rogers,Jonathan Clark,Jonathan Clark
327,Leonard Helm,George Rogers Clark,George Rogers Clark
328,Richard Brashers,George Rogers Clark,George Rogers Clark
329,George Rogers Clark,People of Kaskaskia,People of Kaskaskia
330,Patrick Henry,Benjamin Harrison,Benjamin Harrison
331,Leonard Helm,George Rogers Clark,George Rogers Clark
332,Joseph Bowman,George Rogers Clark,George Rogers Clark
333,Clark,Treasurer of Virginia,Treasurer of Virginia
334,George Rogers Clark,Oliver Pollock,Oliver Pollock
335,John Bowman,George Rogers Clark,George Rogers Clark
336,Joseph Bowman,Isaac Hite,Isaac Hite
337,George Rogers Clark,John Clark,John Clark
338,Geoffrey Linctot,George Rogers Clark,George Rogers Clark
339,George Rogers Clark,Militia,Militia
340,William Shannon,J. P. Le Gras,J. P. Le Gras
341,John Rogers,Jonathan Clark,Jonathan Clark
342,Thomas Jefferson,Guy Carleton,Guy Carleton
343,Daniel Brodhead,George Rogers Clark,George Rogers Clark
344,John Todd,Thomas Jefferson,Thomas Jefferson
345,John Page,John Todd,John Todd
346,Thomas Quirk,Geoffrey Linctot,Geoffrey Linctot
347,Thomas Quirk,George Rogers Clark,George Rogers Clark
348,John Beckley,George Rogers Clark,George Rogers Clark
349,James Shelby,George Rogers Clark,George Rogers Clark
350,George Rogers Clark,Thomas Jefferson,Thomas Jefferson
351,George Rogers Clark,Daniel Brodhead,Daniel Brodhead
352,Robert George,Daniel Brodhead,Daniel Brodhead
353,George Rogers Clark,Silas Martin,Silas Martin
354,John Todd,George Rogers Clark,George Rogers Clark
355,James Shelby,George Rogers Clark,George Rogers Clark
356,Robert Todd,George Rogers Clark,George Rogers Clark
357,Benjamin Logan,George Rogers Clark,George Rogers Clark
358,John Rogers,George Rogers Clark,George Rogers Clark
359,Levi Todd,George Rogers Clark,George Rogers Clark
360,George Rogers Clark,John Donne,John Donne
361,George Rogers Clark,Jean Girault,Jean Girault
362,George Rogers Clark,William 05o,William 05o
363,George Rogers Clark,Jonathan Clark,Jonathan Clark
364,George Meriwether,George Rogers Clark,George Rogers Clark
365,Thomas Jefferson,Joseph Martin,Joseph Martin
366,Thomas Jefferson,George Rogers Clark,George Rogers Clark
367,Thomas Jefferson,Thomas Walker,Thomas Walker
368,Grant of Land,George Rogers Clark,George Rogers Clark
