Richard Henry Lee,William Shippen,Jan. 1 1777
Hlhridgc Gerry,Joseph Hawk-y. Jan. 1 1777
William Hooper,Joseph I lewes,Jan. 1 1777
John Hancock,George Washington,Jan 1 1777
Samnd Adams,James Warren,Jan. 1 1777
Committee in Philadelphia,John Hancock,Jan 2 1777
Committee in Philadelphia,William Palfrey,Jan 2 1777
Elbridge Gerry,Joseph TrnmbuU,Jan 2 1777
Samuel Chase,the Maryland Council of Safety,Jan 3 1777
Committee in Philadelphia,George Washington,Jan 5 1777
John Hancock,the Committee in Philadelphia,Jan 6 1777
John Hancock,George Washington,Jan 6 1777
Francis Lewis,the New York Committee of Safety,Jan 7 1777
William Ellery,Nicholas Cooke,Jan 7 1777
Samuel Chase,the Maryland Council of Safety,Jan 8 1777
Benjamin Harrison,Robert Morris,Jan 8 1777
John Hancock,Archibald Bulloch,Jan 8 1777
Samuel Adams,James Warren,Jan 8 1777
Samuel Adams,John Adams,Jan 9 1777
Committee in Philadelphia,George Washington,Jan 9 1777
Committee in Philadelphia,James Wilson,Jan 9 1777
John Hancock,the Massachusetts Assembly,Jan 10 1777
Robert Morris,John Jay,Jan 12 1777
Robert Morris,John Langdon,Jan 12 1777
John Hancock,Robert Morris,Jan 14 1777
James Wilson,Robert Morris,Jan 14 1777
Francis Lightfoot Lee,Landon Carter,Jan 14 1777
John Hancock,the Maryland Assembly,Jan 14 1777
John Hancock,the Committee in Philadelphia,Jan 14 1777
Secret Committee,the Commissioners in Paris,Jan 14 1777
Francis Lewis,Robert Morris,Jan 15 1777
Samuel Adams,James Warren,Jan 16 1777
Francis Lewis,Abraham Ten Broeck,Jan 16 1777
Richard Henry Lee,Patrick Henry,Jan 17 1777
Committee in Philadelphia,Richard Dallam,Jan 18 1777
John Hancock,George Washington,Tan 18 1777
John Hancock,the Committee in Philadelphia,Jan 18 1777
John Hancock,Andrew Lewis,Jan 18 1777
Secret Committee,Robert Morris,Jan 18 1777
Samuel Chase,the Maryland Council of Safety,Jan. 19 1777
Samuel Chase,William Livingston,Jan 23 1777
Thomas Nelson jr., ,Robert Morris,Jan 25 1777
John Hancock,George Washington,Jan 29 1777
Samuel Chase,the Maryland Council of Safety,Jan 29 1777
William Ellery,Nicholas Cooke,Jan 30 1777
John Hancock,Joseph Trumbull,Jan 30 1777
John Hancock,the Maryland Assembly,Jan 31 1777
Massachusetts Delegates,James Bowdoin,Jan 31 1777
Samuel Chase,the Maryland Council of Safety,Jan 31 1777
Robert Morris,George Washington,Jan 31 1777
Francis Lewis,Abraham Ten Broeck,Jan 31 1777
Francis Lewis,John McKesson,Jan 31 1777
Elbridge Gerry,Joseph Trumbull,Jan 31 1777
William Hooper,Robert Morris,Feb. 1 1777
Committee of Secret Correspondence,William Bingham,Feb. 1 1777
Samuel Adams,James Warren,Feb. 1 1777
John Hancock,the Maryland Assembly,Feb. 1 1777
Benjamin Rush,Diary,Feb 4 1777
Thomas Burke,Richard Caswell,Feb 4 1777
Samuel Chase,the Maryland Council of Safety,Feb 6 1777
John Hancock,George Washington,Feb 6 1777
John Adams,Mrs. Adams,Feb 7 1777
Samuel Chase,the Maryland Council of Safety,Feb 7 1777
William Whipple,Josiah Bartlett,Feb 7 1777
Thomas Burke,Abstract of Debates,Feb 7 1777
Benjamin Rush,Robert Morris,Feb 8 1777
Thomas Burke,Abstract of Debates,Feb 8 1777
Thomas Burke,Abstract of Debates,Feb 8 1777
Abraham Clark,John Hart,Feb 8 1777
John Hancock,the Massachusetts Assembly,Feb 8 1777
Benjamin Rush,Diary,Feb 10 1777
Benjamin Rush,Robert Morris,Feb 11 1777
John Hancock,the Maryland Council of Safety,Feb 11 1777
John Adams,James Warren,Feb 12 1777
Thomas Burke,Abstract of Debates,Feb 12 1777
Medical Committee,George Washington,Feb 13 1777
Benjamin Rush,Diary,Feb 14 1777
Thomas Burke,Abstract of Debates,Feb 15 1777
William Ellery,Nicholas Cooke,Feb 15 1777
William Hooper,Joseph Hewes,Feb 15 1777
Thomas Burke,Richard Caswell. Feb. 16 1777
Samuel Adams,James Warren,Feb 16 1777
360A. Robert Morris,William Bingham,Feb 16 1777
John Adams,James Warren,Feb 17 1777
John Hancock,Robert Morris,Feb 18 1777
Francis Lewis,Abraham Ten Broeck,Feb 18 1777
Thomas Burke,Abstract of Debates,Feb. 12-19 1777
Benjamin Rush,Diary,Feb 19 1777
Benjamin Rush,Diary,Feb 20 1777
Thomas Burke,Abstract of Debates,Feb 20 1777
John Hancock,the Maryland Assembly,Feb 20 1777
Samuel Chase,the Maryland Council of Safety,Feb 20 1777
John Adams,Joseph Palmer,Feb 20 1777
Thomas Burke,Abstract of Debates,Feb 21 1777
John Adams,Mrs. Adams,Feb 21 1777
Board of War,George Washington,Feb 21 1777
John Adams,Diary,Feb. 21 1777
Benjamin Rush,Robert Morris,Feb 22 1777
William Whipple,Josiah Bartlett,Feb 22 1777
Committee in Philadelphia,George Washington,Feb 22 1777
John Hancock,George Washington,Feb 23 1777
John Hancock,Horatio Gates,Feb 23 1777
Thomas Burke,Abstract of Debates,Feb 24 1777
Thomas Burke,Abstract of Debates,Feb 25 1777
Thomas Burke,Abstract of Debates,Feb 25 1777
John Hancock,Robert Morris,Feb 26 1777
Thomas Burke,Abstract of Debates,Feb 26 1777
Benjamin Rush,Diary,Feb 26 1777
Committee in Philadelphia,George Washington,Feb 26 1777
Thomas Burke,Abstract of Debates,Feb 27 1777
John Hancock,Robert Morris,Feb 27 1777
James Wilson,Robert Morris,Feb 28 1777
Francis Lightfoot Lee,Landon Carter,Feb 28 1777
Thomas Burke,Richard Caswell,Mar 2 1777
Roger Sherman,Jonatlian 'I'niinbiill,Mar 4 1777
Mann PaRe jr., ,George Wcedon,Mar. 5 1777
William Ivlirry,Nicholas Cooke,Mar 6 1777
Robert Morris,George Wasliiiigton,Mar 6 1777
John Adams,Mrs. Adams,Mar 7 1777
397. .\l>rahani Clark,l-'.lias Dayton,Mar 7 1777
Abraham Clark,Janus Calilwcll,Mar 7 1777
John Hancock,Mrs. Hancock,Mar 10 1777
Thomas Rurke,Richard Caswell,Mar 11 1777
John Hancock,the New York Delegates,Mar 11 1777
402. I'rancis Lewis,the New York Convention,Mar 12 1777
Thomas lUirke,Abstract of Debates,Mar. 14 1777
John .Adams,Nathanacl Greene,Mar 29 1777
William Ellcry,Nicholas Cooke,Mar 15 1777
Lewis Morris , .Xbraham Ten Broeck,Mar 16 1777
John Hancock,George Washington,Mar 17 1777
William Whipple,Josiah Bartlett,Mar 17 1777
John Adams,James Warren. Mar 18 1777
John Hancock,Philip Schuyler,Mar 18 1777
Samuel Adams,Miss Mercy Scollay,Mar 18 1777
Roger Sherman,Jonathan Trumbull,jr.. Mar 20 1777
Roger Sherman,Jonathan Trumbull,Mar 21 1777
Daniel Robcrdcau,Thomas Johnson,jr.. Mar 22 1777
James Lovell,John Trumbull,Mar 22 1777
William Whipple,John Langdon,Mar 24 1777
John Adams,James Warren,Mar 24 1777
Committee of Secret Correspondence,the Commissioners in Paris,Mar. 25. 310 1777
